node_id,rc_station,year,direction,road_name,segment_start,segment_end,segment_length
0,04_4281,2018,east,30_st,9_ave,5_ave,71
2,04_4281,2018,east,30_st,9_ave,5_ave,71
2,04_1116,2019,south,9_ave,34_st,14_st,98
4,04_1232,2019,east,34_st,Dyer_ave,8_ave,27
4,04_1116,2019,south,9_ave,34_st,14_st,98
6,04_2035,2018,east,36_st,10_ave,5_ave,87
6,04_1117,2019,south,9_ave,59_st,34_st,125
8,04_6129,2016,east,38_st,10_ave,8_ave,34
8,04_1117,2019,south,9_ave,59_st,34_st,125
10,04_2074,2017,east,40_st,Dyer_ave,5_ave,79
10,04_1117,2019,south,9_ave,59_st,34_st,125
12,04_1222,2019,east,42_st,10_ave,5_ave,87
12,04_1117,2019,south,9_ave,59_st,34_st,125
14,04_6098,2018,east,44_st,12_ave,Broadway,81
14,04_1117,2019,south,9_ave,59_st,34_st,125
16,04_2026,2017,east,46_st,10_ave,5_ave,88
16,04_1117,2019,south,9_ave,59_st,34_st,125
18,04_2027,2018,east,48_st,10_ave,5_ave,86
18,04_1117,2019,south,9_ave,59_st,34_st,125
20,04_2028,2019,east,50_st,10_ave,5_ave,88
20,04_1117,2019,south,9_ave,59_st,34_st,125
22,04_6043,2018,east,52_st,12_ave,Broadway,75
22,04_1117,2019,south,9_ave,59_st,34_st,125
24,04_6051,2018,east,54_st,12_ave,Broadway,74
24,04_1117,2019,south,9_ave,59_st,34_st,125
26,04_2021,2018,east,56_st,10_ave,5_ave,87
26,04_1117,2019,south,9_ave,59_st,34_st,125
27,04_1223,2019,east,57_st,10_ave,5_ave,87
27,04_1117,2019,south,9_ave,59_st,34_st,125
28,04_6045,2019,east,58_st,12_ave,Broadway,72
28,04_1117,2019,south,9_ave,59_st,34_st,125
29,04_4281,2018,east,30_st,9_ave,5_ave,71
29,04_1278,2019,north,8_ave,23_st,34_st,54
86,04_6045,2019,east,58_st,12_ave,Broadway,72
86,04_1277,2011,south,7_ave,Central_Park_South,34_st,125
87,04_4281,2018,east,30_st,9_ave,5_ave,71
87,04_1126,2011,north,6_ave,Canal_st,Central_Park_South,340
144,04_4114,2018,east,58_st,5_ave,Sutton_Place,80
144,04_2000,2017,south,5_ave,Washington_Square_North,120_st,567
145,04_4097,2019,east,30_st,5_ave,1_ave,66
145,04_2001,2019,north,Madison_ave,23_st,135_st,561
174,04_4097,2019,east,30_st,5_ave,1_ave,66
174,04_4010,2019,north,Park_ave,23_st,34_st,55
202,04_4114,2018,east,58_st,5_ave,Sutton_Place,80
202,04_1005,2018,south,Park_ave,57_st,59_st,11
204,04_4098,2018,west,31_st,5_ave,2_ave,52
204,04_1184,2019,north,Lexington_ave,34_st,23_st,55
206,04_4098,2018,west,31_st,5_ave,2_ave,52
206,04_1184,2019,north,Lexington_ave,34_st,23_st,55
207,04_1167,2019,west,34_st,5_ave,2_ave,52
207,04_1184,2019,north,Lexington_ave,34_st,23_st,55
208,04_1157,2019,north,Lexington_ave,59_st,34_st,125
208,04_4100,2019,west,35_st,5_ave,1_ave,66
210,04_4102,2019,west,37_st,5_ave,1_ave,65
210,04_1157,2019,north,Lexington_ave,59_st,34_st,125
212,04_4104,2017,west,39_st,5_ave,1_ave,66
212,04_1157,2019,north,Lexington_ave,59_st,34_st,125
214,04_4106,2017,west,41_st,5_ave,Dead_End,64
214,04_1157,2019,north,Lexington_ave,59_st,34_st,125
215,04_1168,2019,west,42_st,5_ave,FDR_Drive,77
215,04_1157,2019,north,Lexington_ave,59_st,34_st,125
216,04_4107,2018,west,43_st,Lexington_ave,Dead_End,35
216,04_1157,2019,north,Lexington_ave,59_st,34_st,125
218,04_1136,2018,west,45_st,1_ave,Vanderbilt_ave,51
218,04_1157,2019,north,Lexington_ave,59_st,34_st,125
220,04_4111,2018,west,47_st,5_ave,1_ave,66
220,04_1157,2019,north,Lexington_ave,59_st,34_st,125
222,04_2071,2019,west,49_st,5_ave,FDR_Drive,78
222,04_1157,2019,north,Lexington_ave,59_st,34_st,125
224,04_2072,2017,west,51_st,5_ave,Dead_End,76
224,04_1157,2019,north,Lexington_ave,59_st,34_st,125
226,04_2057,2018,west,53_st,5_ave,Sutton_Place,79
226,04_1157,2019,north,Lexington_ave,59_st,34_st,125
228,04_2065,2016,west,55_st,Sutton_Place,5_ave,80
228,04_1157,2019,north,Lexington_ave,59_st,34_st,125
230,04_1169,2019,west,57_st,5_ave,Bridge_Access_Road,57
230,04_1157,2019,north,Lexington_ave,59_st,34_st,125
