from,to,id,type
9_30,8_30,9_30to8_30,2L25
9_31,9_30,9_31to9_30,4L25
9_32,9_31,9_32to9_31,4L25
9_32,8_32,9_32to8_32,2L25
9_33,9_32,9_33to9_32,4L25
9_34,9_33,9_34to9_33,4L25
9_34,8_34,9_34to8_34,2L25
9_35,9_34,9_35to9_34,4L25
9_36,9_35,9_36to9_35,4L25
9_36,8_36,9_36to8_36,2L25
9_37,9_36,9_37to9_36,4L25
9_38,9_37,9_38to9_37,4L25
9_38,8_38,9_38to8_38,2L25
9_39,9_38,9_39to9_38,4L25
9_40,9_39,9_40to9_39,4L25
9_40,8_40,9_40to8_40,2L25
9_41,9_40,9_41to9_40,4L25
9_42,9_41,9_42to9_41,4L25
9_42,8_42,9_42to8_42,2L25
9_43,9_42,9_43to9_42,4L25
9_44,9_43,9_44to9_43,4L25
9_44,8_44,9_44to8_44,2L25
9_45,9_44,9_45to9_44,4L25
9_46,9_45,9_46to9_45,4L25
9_46,8_46,9_46to8_46,2L25
9_47,9_46,9_47to9_46,4L25
9_48,9_47,9_48to9_47,4L25
9_48,8_48,9_48to8_48,2L25
9_49,9_48,9_49to9_48,4L25
9_50,9_49,9_50to9_49,4L25
9_50,8_50,9_50to8_50,2L25
9_51,9_50,9_51to9_50,4L25
9_52,9_51,9_52to9_51,4L25
9_52,8_52,9_52to8_52,2L25
9_53,9_52,9_53to9_52,4L25
9_54,9_53,9_54to9_53,4L25
9_54,8_54,9_54to8_54,2L25
9_55,9_54,9_55to9_54,4L25
9_56,9_55,9_56to9_55,4L25
9_56,8_56,9_56to8_56,2L25
9_57,9_56,9_57to9_56,4L25
9_57,8_57,9_57to8_57,2L25
9_58,9_57,9_58to9_57,4L25
9_58,8_58,9_58to8_58,2L25
8_30,8_31,8_30to8_31,4L25
8_30,7_30,8_30to7_30,2L25
8_31,9_31,8_31to9_31,2L25
8_31,8_32,8_31to8_32,4L25
8_32,8_33,8_32to8_33,4L25
8_32,7_32,8_32to7_32,2L25
8_33,9_33,8_33to9_33,2L25
8_33,8_34,8_33to8_34,4L25
8_34,9_34,8_34to9_34,2L25
8_34,8_35,8_34to8_35,4L25
8_34,7_34,8_34to7_34,2L25
8_35,9_35,8_35to9_35,2L25
8_35,8_36,8_35to8_36,4L25
8_36,8_37,8_36to8_37,4L25
8_36,7_36,8_36to7_36,2L25
8_37,9_37,8_37to9_37,2L25
8_37,8_38,8_37to8_38,4L25
8_38,8_39,8_38to8_39,4L25
8_38,7_38,8_38to7_38,2L25
8_39,9_39,8_39to9_39,2L25
8_39,8_40,8_39to8_40,4L25
8_40,8_41,8_40to8_41,4L25
8_40,7_40,8_40to7_40,2L25
8_41,9_41,8_41to9_41,2L25
8_41,8_42,8_41to8_42,4L25
8_42,9_42,8_42to9_42,2L25
8_42,8_43,8_42to8_43,4L25
8_42,7_42,8_42to7_42,2L25
8_43,9_43,8_43to9_43,2L25
8_43,8_44,8_43to8_44,4L25
8_44,8_45,8_44to8_45,4L25
8_44,7_44,8_44to7_44,2L25
8_45,9_45,8_45to9_45,2L25
