depart,id,route,type
0,veh92,route37838,Car2
0,veh1272,route117949,Car1
7,veh40,route26588,Car3
7,veh646,route83075,Car2
7,veh692,route96191,Car1
7,veh928,route112631,Car1
7,veh1667,route188038,Car2
14,veh93,route33452,Car3
14,veh1273,route116249,Car1
15,veh929,route110431,Car2
15,veh1361,route143201,Car2
22,veh647,route83919,Car2
22,veh930,route110918,Car3
22,veh1668,route189115,Car1
29,veh931,route112582,Car1
29,veh1362,route140409,Car1
30,veh41,route23671,Car1
30,veh1274,route117118,Car2
37,veh94,route32210,Car2
37,veh234,route53312,Car1
37,veh932,route109512,Car1
37,veh1836,route195117,Car2
44,veh42,route28143,Car1
44,veh1275,route132705,Car1
45,veh933,route109244,Car2
45,veh1498,route171021,Car2
52,veh95,route30017,Car2
52,veh534,route68477,Car2
52,veh784,route101533,Car3
52,veh934,route112747,Car2
52,veh1276,route118904,Car3
52,veh1363,route138811,Car1
59,veh935,route109555,Car2
59,veh1499,route170736,Car2
60,veh96,route31458,Car2
60,veh693,route96587,Car1
67,veh43,route25764,Car3
67,veh478,route66628,Car2
67,veh740,route98423,Car2
67,veh853,route106404,Car2
67,veh1364,route142083,Car2
67,veh1775,route190970,Car1
74,veh97,route30149,Car2
74,veh694,route96141,Car2
82,veh648,route88639,Car1
82,veh741,route97961,Car2
82,veh1277,route115580,Car3
82,veh1421,route157873,Car2
82,veh1869,route198874,Car1
97,veh44,route20416,Car2
97,veh98,route36940,Car2
97,veh183,route42491,Car1
97,veh302,route56491,Car1
97,veh382,route61449,Car2
97,veh742,route100746,Car2
97,veh1278,route119753,Car2
97,veh1837,route195302,Car2
105,veh1870,route197397,Car2
112,veh99,route31776,Car2
112,veh479,route65702,Car2
112,veh743,route98777,Car1
112,veh1279,route115550,Car2
112,veh1500,route175378,Car3
112,veh1741,route190088,Car2
119,veh1871,route198609,Car2
127,veh1,route13933,Car1
127,veh45,route21778,Car3
127,veh184,route42491,Car3
127,veh267,route55523,Car2
127,veh441,route64947,Car2
127,veh535,route68993,Car1
127,veh600,route77088,Car1
127,veh649,route85691,Car2
127,veh829,route103708,Car2
127,veh1365,route148097,Car1
127,veh1533,route178785,Car2
127,veh1776,route192313,Car2
142,veh383,route59870,Car2
142,veh565,route71612,Car2
142,veh695,route96345,Car2
142,veh1669,route187779,Car1
142,veh1901,route202753,Car2
157,veh46,route18579,Car3
157,veh100,route33129,Car2
157,veh235,route52034,Car2
157,veh303,route57416,Car2
157,veh442,route65012,Car2
165,veh304,route56824,Car1
172,veh47,route26159,Car3
172,veh185,route41994,Car3
172,veh236,route50383,Car1
172,veh353,route59739,Car2
172,veh443,route65053,Car1
172,veh566,route73760,Car2
172,veh1280,route113663,Car2
172,veh1742,route189691,Car1
172,veh1902,route200479,Car1
179,veh305,route57548,Car2
187,veh48,route27903,Car2
187,veh210,route47590,Car2
187,veh411,route63038,Car2
187,veh444,route65097,Car1
187,veh480,route65526,Car2
187,veh536,route69917,Car2
187,veh567,route71810,Car1
187,veh650,route86928,Car2
187,veh1366,route138203,Car2
187,veh1422,route159700,Car3
187,veh1872,route198788,Car1
202,veh211,route45810,Car3
202,veh412,route61883,Car3
202,veh481,route65798,Car2
202,veh568,route73774,Car1
202,veh651,route80396,Car1
202,veh744,route97499,Car1
202,veh785,route102243,Car3
202,veh1534,route177034,Car1
202,veh1607,route184983,Car2
210,veh537,route68438,Car1
217,veh212,route48611,Car1
217,veh413,route62502,Car2
217,veh601,route77841,Car1
217,veh745,route100512,Car2
217,veh830,route103379,Car2
217,veh1281,route115604,Car1
217,veh1535,route176137,Car2
217,veh1670,route187667,Car2
224,veh538,route67702,Car2
232,veh384,route60464,Car1
232,veh539,route70286,Car2
232,veh569,route70861,Car2
232,veh652,route86307,Car2
232,veh696,route97054,Car3
232,veh746,route97274,Car2
232,veh786,route101981,Car2
232,veh831,route102804,Car2
232,veh854,route108904,Car3
232,veh1469,route168156,Car2
232,veh1571,route181539,Car2
232,veh1671,route188856,Car2
232,veh1777,route191090,Car1
232,veh1903,route202906,Car1
242,veh13693,route96063,Bus
246,veh13690,route97159,Bus
247,veh49,route17241,Car2
247,veh385,route61453,Car2
247,veh414,route61935,Car2
247,veh540,route68917,Car1
247,veh602,route79015,Car2
247,veh832,route103217,Car2
247,veh1636,route186179,Car1
247,veh1672,route188027,Car3
262,veh2,route10405,Car1
262,veh237,route51237,Car2
262,veh936,route112816,Car2
262,veh1282,route128702,Car2
262,veh1536,route176254,Car1
262,veh1778,route191523,Car2
262,veh1815,route192641,Car2
266,veh13691,route97259,Bus
270,veh1779,route191989,Car2
277,veh415,route61858,Car3
277,veh855,route108709,Car2
277,veh1283,route132241,Car1
277,veh1537,route179551,Car2
