id,type,maxSpeed,averageSpeed,hour,minute,start_vertex_id,stop_vertex_id,turnsCount
veh5436953,Bus,8.0,1.69,10,52,174,201,0
veh1405249,Bus,7.99,1.4,15,30,145,172,0
veh1499310,Bus,8.0,1.55,9,4,144,41,1
veh4686906,Bus,8.0,1.33,22,12,202,175,0
veh472635,Bus,8.0,1.66,8,24,144,178,1
veh6470339,Bus,8.0,1.28,6,11,29,186,1
veh376694,Bus,8.0,1.22,11,2,230,56,0
veh1032285,Bus,8.0,1.4,21,30,145,172,0
veh4591939,Bus,7.98,1.38,12,32,27,201,0
veh5721581,Bus,8.0,1.38,10,32,27,201,0
veh937708,Bus,7.99,1.5,20,15,4,178,0
veh5904231,Bus,8.0,1.54,10,26,87,56,1
veh2716111,Bus,8.0,1.66,9,24,144,178,1
veh2532541,Bus,7.99,1.15,19,6,87,41,1
veh4313414,Bus,8.0,1.22,13,45,207,33,0
veh3468139,Bus,8.0,1.39,9,31,29,201,1
veh6470364,Bus,8.0,1.4,8,51,29,56,0
veh3096141,Bus,8.0,1.33,10,12,202,175,0
veh472611,Bus,8.0,1.38,6,32,27,201,0
veh843955,Bus,8.0,1.55,13,4,144,41,1
veh3563237,Bus,8.0,1.55,19,22,174,48,1
veh1499373,Bus,8.0,1.21,15,2,230,56,0
veh655173,Bus,7.99,1.4,18,51,29,56,0
veh2154366,Bus,8.0,1.33,6,12,202,175,0
veh1221790,Bus,8.0,1.38,14,32,27,201,0
veh1877210,Bus,8.0,1.7,8,54,144,117,0
veh3846394,Bus,8.0,1.73,22,32,86,59,0
veh1221877,Bus,8.0,1.74,22,32,86,59,0
veh5065391,Bus,8.0,1.69,4,52,174,201,0
veh3563224,Bus,8.0,1.69,18,2,86,33,1
veh4875123,Bus,8.0,1.54,10,26,87,56,1
veh4218746,Bus,7.98,1.28,13,47,215,41,0
veh2343474,Bus,8.0,1.74,12,32,86,59,0
veh5437060,Bus,8.0,1.55,20,26,87,56,1
veh565769,Bus,8.0,1.33,10,12,202,175,0
veh5626616,Bus,8.0,1.38,18,17,12,186,0
veh2810669,Bus,8.0,1.27,7,47,215,41,0
veh5721693,Bus,8.0,1.65,21,24,144,178,1
veh2810799,Bus,8.0,1.55,19,26,87,56,1
veh2248988,Bus,8.0,1.4,6,51,29,56,0
veh5065566,Bus,8.0,1.16,20,6,87,41,1
veh376758,Bus,8.0,1.55,18,26,87,56,1
veh5158889,Bus,8.0,1.7,11,54,144,117,0
veh5065512,Bus,7.98,1.21,15,2,230,56,0
veh4218750,Bus,8.0,1.39,14,31,29,201,1
veh1783639,Bus,8.0,1.65,5,24,144,178,1
veh2622238,Bus,8.0,1.55,10,26,87,56,1
veh2716134,Bus,8.0,1.27,11,47,215,41,0
veh3935957,Bus,8.0,1.5,7,4,144,41,1
veh3936081,Bus,8.0,1.69,18,2,86,33,1
veh4875203,Bus,8.0,1.55,18,26,87,56,1
veh5815055,Bus,7.99,1.62,10,26,87,56,1
veh4969692,Bus,8.0,1.7,17,54,144,117,0
veh5158937,Bus,8.0,1.38,16,17,12,186,0
veh4502832,Bus,8.0,1.55,16,26,87,56,1
veh4686759,Bus,8.0,1.15,9,6,87,41,1
veh2716176,Bus,8.0,1.16,16,6,87,41,1
veh6377178,Bus,8.0,1.55,4,26,87,56,1
veh5158959,Bus,8.0,1.74,18,32,86,59,0
veh2060355,Bus,7.99,1.21,13,2,230,56,0
veh4124143,Bus,8.0,1.37,20,32,27,201,0
veh1310947,Bus,8.0,1.38,16,32,27,201,0
veh4875172,Bus,8.0,1.65,15,24,144,178,1
