edge,MAE,RMSE
6_42to5_42,20.463418741478552,33.40086947223996
Park_54toPark_53,16.972185259715534,27.370843935555353
Park_49toPark_50,13.776096716830743,24.13617798639255
7_42to8_42,13.991030174342283,19.3966746988189
6_49to6_50,13.06004144479408,18.24747076625085
6_34to5_34,9.993132689381179,16.803210390838604
Park_36toPark_35,10.963735593469952,16.753427171050564
5_52to5_51,10.994856197830968,15.806088395541344
Madison_47toMadison_48,9.790172073910984,15.685961281679338
Madison_57to5_57,8.016554575870735,12.393153833640389
Park_55toPark_54,7.663552521251237,11.92563636054664
Park_38toPark_39,9.33225279026085,11.857588050816808
Park_58toPark_57,8.490048710601872,11.197635639045561
Park_46toPark_47,8.335782309940459,11.026056934599108
Park_47toPark_46,7.882120061212905,10.93331120224211
5_40to5_39,7.775983013159291,10.814763763417362
Park_42toPark_43,7.847863890819095,10.45676272743733
Park_48toPark_49,7.644048103566846,10.02472836140686
Park_44toPark_45,7.315247050782064,9.363016631013206
Park_50toPark_51,7.261492887015032,9.348443243083498
8_46to8_47,6.782689897644271,8.937917833791587
7_37to7_36,6.8849311093721575,8.804444220094794
7_49to7_48,6.810883706464387,8.704506701523158
8_36to8_37,6.769252371302564,8.45096842107051
Park_52toPark_53,6.6790180835118695,8.363973546364647
Park_49toPark_48,6.582704206373606,8.331301519679565
Park_50toPark_49,6.097223713676602,7.95653520969655
6_36to6_37,6.018124317026167,7.9422925186228595
7_57to6_57,6.188300283814952,7.904941258800705
Park_41toPark_42,6.123591449742344,7.879068403267205
Park_53toPark_52,6.262093407225412,7.8594510297330125
Park_51toPark_50,5.993388466863214,7.720288370306552
Park_42toPark_41,6.036915069688321,7.69826143848673
Park_54toPark_55,5.980328918037455,7.561927248934708
Park_45toPark_44,5.847833073423045,7.399819351616105
Madison_36toMadison_37,5.148220549405889,7.372727182184614
Park_46toPark_45,5.719999897271368,7.247748149859079
7_34to8_34,4.620654161145975,7.185216400186423
Park_34toPark_33,5.69139395448101,7.157478455674066
Park_38toPark_37,5.471064087631617,7.0388964734578225
Madison_46toMadison_47,5.21297185852162,7.035992540823998
Park_39toPark_40,5.433149660078709,6.878088872309079
5_49to6_49,5.3456449086298505,6.8777702637028595
Park_40toPark_39,5.364090633291521,6.823479204777861
Park_44toPark_43,5.3275343206672465,6.736359365603476
6_48to6_49,5.156621339853849,6.656725837657193
Park_40toPark_41,5.15405166420439,6.643197665386006
7_42to7_41,5.14278707002885,6.608923033252726
Park_45toPark_46,5.199375537414066,6.586596624023884
5_47to6_47,5.23178767435217,6.559350334680549
Park_47toPark_48,5.1235471159768,6.539249996675215
Park_57toPark_56,5.116456884818327,6.501455592459599
Park_47toMadison_47,5.018738747372282,6.419550061547624
5_45to6_45,5.099359251184589,6.417170342572593
Park_43toPark_44,5.086470893429899,6.348809436526315
5_51to6_51,4.99373401024853,6.312824817017129
Park_45toMadison_45,4.916979994213284,6.2511686460183356
5_42to5_41,4.950005720768665,6.204508731321563
Park_34toPark_35,4.915920942862502,6.160297732385331
Park_49toMadison_49,4.822664809517447,6.157492405767284
6_44to6_45,4.720942777813584,6.029083081906121
6_50to6_51,4.7465837338100005,6.002562914623863
6_46to6_47,4.749111546412618,5.992043495950307
5_43to6_43,4.735469929810904,5.9668319901928975
Madison_49to5_49,4.6782276300322,5.957622894973737
Madison_48toMadison_49,4.619878081638641,5.913959348087848
5_42toMadison_42,4.613504399563252,5.894599871739534
Madison_45toMadison_46,4.581097073444348,5.885844859579159
Madison_44toMadison_45,4.566258697253036,5.877193674400119
Madison_50toMadison_51,4.639966511406319,5.789715049459039
Park_43toPark_42,4.587182772172397,5.754020670109123
Madison_49toMadison_50,4.511944559930652,5.750312754607566
5_53to6_53,4.568350755502966,5.727682518103396
Park_48toPark_47,4.442745851915367,5.718027667800502
Madison_42to5_42,4.432342007244972,5.714218060205509
Madison_45to5_45,4.48197649695119,5.707956248996851
Park_51toMadison_51,4.4693014914853455,5.669124542431328
Park_43toMadison_43,4.428028807662508,5.648543807374029
Madison_53to5_53,4.4932182884777365,5.627677060341519
6_52to6_53,4.4824331376134,5.59996130933386
5_43to5_42,4.3863518129018475,5.5899717461065475
Madison_42toPark_42,4.430942794563819,5.57831866563146
6_47to6_48,4.459953368927017,5.569512097099549
6_45to6_46,4.413925794009851,5.5664181884044
Madison_51to5_51,4.38739228912751,5.565171601601237
6_41to6_42,3.6014053925141,5.513549244332657
8_52to8_53,4.318386245132318,5.505864622379086
Park_37toPark_38,4.390504304392464,5.488835623272052
8_54to8_55,4.2929343725204365,5.440627259901649
8_50to8_51,4.314421052086853,5.394545429280881
7_43to7_42,4.190024983232554,5.389129753134631
Madison_47to5_47,4.202141268223991,5.362524985460524
Park_35toPark_36,4.213567665408625,5.319692037540487
6_46to5_46,4.285869828091455,5.317792938508246
5_34toMadison_34,4.231161227664364,5.264263413871782
Madison_51toMadison_52,4.12461601012544,5.2257661756816915
Madison_40toMadison_41,4.153145022018882,5.223753238229797
5_42to6_42,4.161777044982373,5.2105170907857365
7_38to7_37,4.192156194653093,5.208886284972318
Park_41toMadison_41,4.11152704047254,5.185130971391371
8_51to8_52,4.147129276408237,5.184284026371039
6_44to5_44,4.159705912967675,5.182171246380125
6_50to5_50,4.106427460869797,5.156285838182603
Park_42toMadison_42,4.059127615691552,5.1345338283263375
6_52to5_52,3.9423386545308943,5.115790290345317
Park_56toPark_55,3.962063528603939,5.11342054533408
6_40to5_40,3.935484333361397,5.107743877525943
6_49to7_49,3.866589494415308,5.106349324092046
6_48to5_48,4.05736114893708,5.104500853731073
6_54to6_55,4.002225422498478,5.100951322070562
Park_53toMadison_53,4.014059492631094,5.083133874858129
