edge,MAE,RMSE
6_42to5_42,21.625238740957062,34.268058649348596
Park_54toPark_53,17.477998537400254,27.591226776892604
Park_49toPark_50,14.164235660502534,24.23938556832572
7_42to8_42,13.832584756598045,19.25733554293459
6_49to6_50,13.543835234171262,18.232763362080743
6_34to5_34,10.020067453252729,16.82864984276426
Park_36toPark_35,11.230710970789513,16.79584155769638
5_52to5_51,11.056342210012886,15.777311665817775
Madison_47toMadison_48,10.194323427103365,15.663553031483602
Madison_57to5_57,8.07293398038163,12.433928594634057
Park_38toPark_39,9.615026954707991,12.108976885057242
Park_55toPark_54,7.789484227999305,11.975834590259607
Park_58toPark_57,8.506572756291403,11.099762980872404
Park_47toPark_46,8.177765541583055,11.060916851000874
5_40to5_39,7.998957481538549,11.052482201711946
Park_46toPark_47,8.316924562863274,10.871535660077466
Park_42toPark_43,7.845701487907826,10.363902075703697
Park_48toPark_49,7.585013343495364,9.877826069540744
Park_44toPark_45,7.320916055170257,9.26365938668906
Park_50toPark_51,7.12664040430843,9.148308779878437
8_46to8_47,6.959618853079307,8.95376271670633
7_37to7_36,6.816126252308364,8.654532816095063
7_49to7_48,6.747583087410635,8.582734310365415
8_36to8_37,6.7888755523370286,8.397486696500408
Park_52toPark_53,6.64844777353925,8.261537543649903
Park_49toPark_48,6.493514445935334,8.218118378771084
6_36to6_37,6.122480703506941,8.021907766054845
Park_50toPark_49,6.076599018570115,7.8753864303637044
Park_41toPark_42,6.149894726246269,7.862370166782899
Park_53toPark_52,6.208041246174123,7.7888802001505715
7_57to6_57,5.856799612929741,7.780206354852569
Park_51toPark_50,6.010423160697125,7.674969809294491
Park_42toPark_41,6.016150336722686,7.62135242442864
Park_54toPark_55,5.912151837951258,7.4603078603910635
Madison_36toMadison_37,5.216992179024172,7.380167330905317
Park_45toPark_44,5.774482324796733,7.3048342790645115
7_34to8_34,4.519091031206166,7.1710936656674935
Park_46toPark_45,5.677738125447711,7.132306995132967
Park_34toPark_33,5.685267429864376,7.118503319725509
Park_38toPark_37,5.472037631099353,7.004447791877806
5_49to6_49,5.348464012374602,6.881799703625683
Park_39toPark_40,5.438879625606754,6.874819604628809
Madison_46toMadison_47,5.11226435028357,6.840056997518774
Park_40toPark_39,5.377054051077177,6.786113692210225
Park_40toPark_41,5.189296418904064,6.653170566021854
Park_44toPark_43,5.277042682183069,6.636772911536138
5_47to6_47,5.224514234157258,6.540844722188863
Park_45toPark_46,5.160232602734925,6.537508769657331
Park_57toPark_56,5.129696443010926,6.498670377528384
6_48to6_49,5.05882791706263,6.466843876022765
Park_47toMadison_47,5.046263746914288,6.447438199187525
Park_47toPark_48,5.071627830808182,6.441205133664978
7_42to7_41,5.028866727414808,6.403456166956796
5_45to6_45,5.079903062117342,6.393962706964082
5_51to6_51,4.99167075016552,6.312156310858367
Park_43toPark_44,5.082011745709431,6.305161654346913
Park_45toMadison_45,4.935857405598808,6.262679526166249
Park_34toPark_35,4.937588568487951,6.156391423050127
Park_49toMadison_49,4.82073275818921,6.136043097709595
5_42to5_41,4.817586953977564,6.030785671875843
5_43to6_43,4.743742349774255,5.96006328581895
Madison_49to5_49,4.6867791879883125,5.956128751492268
5_42toMadison_42,4.643333321912206,5.9092857416126705
6_50to6_51,4.65712575679664,5.878441239258448
6_44to6_45,4.588308790286651,5.819847992876271
Park_43toPark_42,4.623469084689107,5.774887313180252
6_46to6_47,4.568622301340108,5.759767716954974
Madison_48toMadison_49,4.5102055198599915,5.755702357709232
Madison_45to5_45,4.511893984889719,5.718672274155554
5_53to6_53,4.550205238557791,5.708958170369667
Madison_42to5_42,4.426660434746912,5.707053637563877
Madison_45toMadison_46,4.457572913541109,5.7043145513250275
Park_51toMadison_51,4.500049649194252,5.69909174872866
Park_48toPark_47,4.461502259222448,5.691047809633182
Madison_44toMadison_45,4.44189951569839,5.6905694369835
Park_43toMadison_43,4.440148911137502,5.670327958330368
Madison_50toMadison_51,4.533863615064519,5.649827471365131
Madison_53to5_53,4.481673005317162,5.612386775875901
Madison_51to5_51,4.421649412138577,5.5989417796587455
Madison_49toMadison_50,4.400063226081792,5.591631685150382
Madison_42toPark_42,4.453959569605028,5.590351314542214
6_41to6_42,3.6496551377611444,5.564688923577062
6_52to6_53,4.449058373967585,5.523243796594434
Park_37toPark_38,4.4067894553005775,5.497498569957787
5_43to5_42,4.300940091446291,5.494864889947766
8_52to8_53,4.27335056598471,5.434450510193439
8_54to8_55,4.258321439293682,5.387686606349356
Madison_47to5_47,4.210951424498633,5.375490179442877
6_45to6_46,4.291368001025503,5.372187444520825
6_47to6_48,4.3269621461681975,5.3645103380331935
6_46to5_46,4.294601489111248,5.33443933473119
Park_35toPark_36,4.225176342231672,5.32148455542236
8_50to8_51,4.243896765189898,5.317728342365704
5_34toMadison_34,4.239153831110874,5.272996650054407
7_43to7_42,4.131221274629786,5.2638885394195185
6_49to7_49,3.95701938656578,5.223903761543264
5_42to6_42,4.167272851466405,5.217015856936641
Park_41toMadison_41,4.127292162108398,5.216600735119792
6_44to5_44,4.185634420054554,5.212542846938629
7_38to7_37,4.187821522717278,5.182195799999992
6_50to5_50,4.129747885913932,5.179638718448701
Park_42toMadison_42,4.050346754391843,5.148210242869064
Park_56toPark_55,4.001201322365191,5.142330416773423
Madison_40toMadison_41,4.087238565381968,5.127674669735947
6_52to5_52,3.940961636610672,5.124685362616697
6_40to5_40,3.9514218109277275,5.115953621794716
6_48to5_48,4.0606187967651355,5.106129919925891
Park_53toMadison_53,4.026514460556607,5.098584239828656
8_51to8_52,4.077287290798264,5.095290916404386
Madison_51toMadison_52,4.017946691417648,5.089332005875306
5_55to6_55,4.015874009563518,5.047271620654735
5_38to5_37,4.0326131432175485,5.036235031963978
6_54to6_55,3.9706455392519473,5.029123849030896
6_51to6_52,4.004046495847807,4.99982859155822
8_48to8_49,3.9608725388575405,4.990256326089883
Park_51toPark_52,3.981751073376562,4.984747255439626
Madison_55to5_55,3.903622887340444,4.957068310400069
Park_32toPark_31,3.886904562164581,4.953028850178972
Park_41toPark_40,3.9195996777948965,4.949303268149066
Madison_52toPark_52,3.9583003670486496,4.94395541916939
8_47to8_48,3.89594793817847,4.9420233576928725
8_49to8_50,3.8955220096265917,4.929825167803093
8_53to8_54,3.9346029386296624,4.9192400944095045
Madison_54toPark_54,3.924110134211534,4.9150888087673
Park_36toPark_37,3.851406371847963,4.913450269639261
Madison_43to5_43,3.8302059632752825,4.913062385435428
Madison_50toPark_50,3.9242499457160367,4.888048111327169
8_45to8_46,3.8666418006083636,4.886144395477027
Madison_39toMadison_40,3.837567308995432,4.876527913913903
6_40to6_41,3.862462690410383,4.875037653905299
Madison_43toMadison_44,3.870150698258649,4.873605875771638
Madison_52toMadison_53,3.8533618185170515,4.865321953422082
Madison_34toPark_34,3.8574199824058137,4.857389522851232
Madison_48toPark_48,3.795927097139082,4.80783817177419
Park_52toPark_51,3.813323112701013,4.8001033645787095
Lexington_45toPark_45,3.8332234318348135,4.767142622920084
5_40toMadison_40,3.831937328302671,4.761311064220864
Park_39toPark_38,3.815399630888276,4.740317433397856
5_41to6_41,3.776844239131997,4.715038728715808
5_44toMadison_44,3.7511798021721177,4.694923176660342
8_55to8_56,3.693819165107791,4.692620878668777
Madison_38toMadison_39,3.6721547517703104,4.689322735531512
