edge,MAE,RMSE
6_42to5_42,15.572827833224,30.40406814584906
Park_54toPark_53,16.569691033292553,26.638843707306346
Park_49toPark_50,10.869827492314878,22.136530754221855
7_42to8_42,14.078162640574973,20.345907930967215
Park_58toPark_57,15.798614464506157,20.042776511366792
6_49to6_50,11.153155612770993,17.28323411972693
6_34to5_34,9.354802197143272,17.243223184270786
Park_36toPark_35,9.645833896407513,16.02674871319737
5_52to5_51,10.83230755158305,15.983097813706047
Madison_47toMadison_48,8.888356324010722,14.648697811767809
Park_46toPark_47,9.72985118779305,13.1645302431902
Madison_57to5_57,8.207026760007384,13.027736629701348
Park_38toPark_39,9.154822416321732,11.759310450936399
Park_42toPark_43,8.223404678350576,11.173583727922725
Park_47toPark_46,7.976525420285044,10.9431858322189
Park_55toPark_54,6.984530230125693,10.864522090350176
Park_48toPark_49,8.150139225986704,10.738388073375715
5_40to5_39,7.383085400707541,10.398818081127143
Park_50toPark_51,7.568771674031427,9.872574778708113
Park_44toPark_45,7.595985635511242,9.816079268383294
8_46to8_47,7.381145040115151,9.53794614157132
8_36to8_37,7.054805372467393,8.781815996260395
7_37to7_36,6.534799457101707,8.497306237844592
Park_49toPark_48,6.6778607767304,8.493827522160988
Park_52toPark_53,6.773315448630017,8.440400246514043
7_49to7_48,6.42259172033616,8.37581223825204
Park_53toPark_52,6.509515997389697,8.344648751282008
Park_42toPark_41,6.4187130384418545,8.165923959891336
6_36to6_37,6.2264139372782985,8.146020340206148
Park_50toPark_49,6.238470671147517,8.13911448171069
Park_41toPark_42,6.344902348114125,8.129228723913485
Park_51toPark_50,6.207074541571237,7.895632223640563
Park_54toPark_55,6.064161231873967,7.77297238261957
Park_45toPark_44,5.976708837116196,7.598625567547607
Park_46toPark_45,5.934272923588537,7.471633572301771
Madison_36toMadison_37,5.269341160872693,7.441545624508059
Madison_46toMadison_47,5.561677575934359,7.4226274268406724
Park_34toPark_33,5.870783646737927,7.412162219777165
Park_38toPark_37,5.668427072642389,7.387693456659098
Park_39toPark_40,5.841019668993429,7.381999433749443
7_34to8_34,4.581713051982095,7.277798451093833
5_49to6_49,5.54532772788972,7.1344571480763666
Park_44toPark_43,5.6264860709518825,7.109746025703726
7_42to7_41,5.496685094111303,7.042148966625043
Park_45toPark_46,5.515457454269318,6.990700195368385
Park_40toPark_39,5.531165254637474,6.973449764647019
6_48to6_49,5.415624246028016,6.962704770555934
Park_40toPark_41,5.406838886368502,6.90477632809453
Park_57toPark_56,5.402255224600423,6.897073511772903
Park_47toPark_48,5.296268541121141,6.807354026923586
5_47to6_47,5.331263105278087,6.685963649288979
5_45to6_45,5.2526733686145715,6.669369046595404
Park_47toMadison_47,5.214479643727871,6.662665409685593
Park_43toPark_44,5.344728249342862,6.616994167252476
7_57to6_57,4.577787524466074,6.534757034873556
5_42to5_41,4.998119760688691,6.530959079895227
Park_45toMadison_45,5.081908893557321,6.441752394577759
5_51to6_51,5.064280961107807,6.433578785383885
Park_34toPark_35,5.069953232571763,6.379988216253365
6_44to6_45,5.027827765061381,6.3448325218347845
6_46to6_47,5.023640188428055,6.293305806333809
Park_49toMadison_49,4.961083348264162,6.289716988597014
Madison_48toMadison_49,4.923964590447864,6.262491567497486
5_43to6_43,4.8855514710392605,6.199856368255865
6_50to6_51,4.940121235432585,6.19664847198595
Madison_44toMadison_45,4.787049218570297,6.138957953269377
Madison_49to5_49,4.819891993585764,6.12712635629523
Madison_45toMadison_46,4.804143122489176,6.110089084402611
Madison_50toMadison_51,4.8610871720755275,6.092572232019176
5_42toMadison_42,4.761748461557083,6.081969615945281
Park_43toPark_42,4.897479568518226,6.0597697062268185
Madison_49toMadison_50,4.785031954872444,6.032714441745466
5_43to5_42,4.762041305212429,6.03251792481008
Park_48toPark_47,4.674526080227824,5.9766999472489335
6_52to6_53,4.70835505960446,5.941457176058715
Madison_42to5_42,4.599354906317173,5.8846702213747015
Park_43toMadison_43,4.631127469294851,5.862835466012436
Madison_45to5_45,4.606002774435428,5.852692699347521
6_47to6_48,4.712669473750904,5.848007875688093
5_53to6_53,4.636428883881895,5.837839050923071
6_45to6_46,4.67199062453089,5.8141400838044115
Park_51toMadison_51,4.573287398833162,5.7813860641997765
8_54to8_55,4.510237042047918,5.766896059529906
Madison_53to5_53,4.598814847226741,5.749353912411477
Madison_42toPark_42,4.575056800996451,5.734369332069691
6_41to6_42,3.835405806620623,5.728651381199459
8_52to8_53,4.482192876054906,5.712501991330668
Madison_51to5_51,4.504767320757229,5.679133464713782
Park_37toPark_38,4.531762178224142,5.678949997364757
7_43to7_42,4.389866082630225,5.644166954121043
8_50to8_51,4.457549180944269,5.639369453701562
Park_35toPark_36,4.424587623764503,5.539118307876345
6_46to5_46,4.455136812358048,5.539105587644477
