edge,MAE,RMSE
Park_54toPark_53,23.49351492708443,35.47921938419415
6_42to5_42,17.249526394352838,31.824981764662994
Park_58toPark_57,23.31426136045873,28.87554501885233
7_42to8_42,17.075512938821255,23.88778211466783
Park_49toPark_50,10.962315247720014,22.426699643977813
6_49to6_50,11.990349676504216,19.193302772210657
6_34to5_34,10.315680976508931,18.190894218246857
5_52to5_51,12.422158628983247,17.891803109332166
Madison_47toMadison_48,10.824181122032803,17.578768773319524
Park_46toPark_47,13.28668154648862,17.12784108585364
Park_36toPark_35,10.000648960542097,16.79360315691571
Park_48toPark_49,10.800950802842236,14.052877318342444
Madison_57to5_57,9.081073423711613,13.78772610816079
Park_42toPark_43,10.071330126277438,13.553042362140152
Park_50toPark_51,10.334757071364383,13.164127209422887
Park_55toPark_54,7.818304092431844,12.516015161063747
7_42to7_41,9.6278802078124,11.843285153484441
Park_47toPark_46,7.926911867556642,11.425933341986635
Park_44toPark_45,8.614670415868588,11.423681473332662
Park_53toPark_52,8.962484041694513,11.129029162415936
Park_38toPark_39,8.57735483066363,11.044021874585392
Madison_46toMadison_47,8.682781065870843,10.934015295913097
5_42to5_41,8.935020490249494,10.879906084361624
5_40to5_39,7.4318887824880955,10.716093027769034
7_57to6_57,9.125108609297762,10.549244677330085
Park_49toPark_48,8.275947744660314,10.490902587056206
7_37to7_36,8.320724834384258,10.184661917137761
6_48to6_49,8.037284755600638,10.088711297252736
7_49to7_48,8.07913556491882,9.925011276460095
Park_50toPark_49,7.722458504440282,9.867995356676314
Madison_45toMadison_46,7.9759653710569705,9.744251623113087
6_46to6_47,7.908354201011379,9.684613575802022
Madison_44toMadison_45,7.7630966896482905,9.684484903765798
Madison_48toMadison_49,7.429013059283757,9.167112749027755
8_46to8_47,6.998435746939956,9.118245041758637
Park_52toPark_53,7.251787849364713,9.111135683698464
6_44to6_45,7.246128784851365,8.93056529223416
Park_51toPark_50,6.87471582645878,8.855040205183498
7_34to8_34,5.648701481560455,8.631988512728894
8_36to8_37,6.984435006925581,8.465126113055701
Madison_36toMadison_37,6.426579871402452,8.39327791546893
Park_45toPark_44,6.587934372014931,8.381864128282322
Park_42toPark_41,6.493883530511367,8.309623690551105
Park_41toPark_42,6.40315490689032,8.280818895377632
6_36to6_37,6.28314128208368,8.205828964875526
6_50to6_51,6.576213054202476,8.126941458437013
Park_46toPark_45,6.350625500450105,8.056403022902236
6_45to6_46,6.334362174324657,7.910223219710704
Park_57toPark_56,6.2794949648765295,7.805743624039096
6_47to6_48,6.221317022199003,7.78196056881481
Park_54toPark_55,6.141232188066847,7.776809060505421
Madison_49toMadison_50,6.172764655916218,7.743120993668961
Park_34toPark_33,5.799374719526182,7.3047036239655085
Park_38toPark_37,5.642927047579364,7.301312217847959
Park_39toPark_40,5.735568144359784,7.26582282396704
5_43to5_42,5.7093455062655645,7.223570946413694
Park_44toPark_43,5.634107451343429,7.20596025456269
5_49to6_49,5.586962569838962,7.115578615023749
5_47to6_47,5.600057545875975,7.01876860485621
Park_47toMadison_47,5.530528284746192,7.017859535334032
Madison_50toMadison_51,5.565625718459022,7.009235562338904
5_42toMadison_42,5.556946138137388,6.986564378441956
Park_40toPark_41,5.439767642952754,6.968606648446652
Park_45toPark_46,5.453446639564813,6.927718223093386
Park_40toPark_39,5.452906369172353,6.8897046738950465
Park_47toPark_48,5.37993949404231,6.876093451673566
Madison_42toPark_42,5.563335761509473,6.871915250277058
5_45to6_45,5.511657051907421,6.82922374552149
5_34toMadison_34,5.486259922153459,6.742425135797084
6_41to6_42,4.991148120986363,6.705151941558743
Park_34toPark_35,5.35246792701117,6.679604614170519
Park_49toMadison_49,5.289240971904091,6.6622194970734485
Park_43toMadison_43,5.307648967803861,6.645818869531666
Park_45toMadison_45,5.245798920111805,6.621355249808803
Madison_42to5_42,5.1918667389037685,6.608982361057723
6_48to5_48,5.4831126911704215,6.606553576580844
Park_43toPark_44,5.279246764611314,6.600122211357171
5_51to6_51,5.20306958958169,6.580582372783139
6_46to5_46,5.300447700660203,6.5535447573971535
6_52to6_53,5.17982425920569,6.48839935989134
6_44to5_44,5.218044945711522,6.468833423213629
