edge,MAE,RMSE
6_42to5_42,21.625238740957077,34.26805864934861
Park_54toPark_53,17.477998537400293,27.591226776892622
Park_49toPark_50,14.164235660502552,24.23938556832573
7_42to8_42,13.832584756598049,19.25733554293459
6_49to6_50,13.54383523417129,18.23276336208075
6_34to5_34,10.020067453252736,16.828649842764268
Park_36toPark_35,11.230710970789533,16.795841557696384
5_52to5_51,11.056342210012886,15.777311665817768
Madison_47toMadison_48,10.19432342710339,15.663553031483593
Madison_57to5_57,8.072933980381645,12.433928594634061
Park_38toPark_39,9.615026954707997,12.108976885057249
Park_55toPark_54,7.789484227999313,11.975834590259613
Park_58toPark_57,8.506572756291403,11.099762980872402
Park_47toPark_46,8.177765541583067,11.060916851000878
5_40to5_39,7.998957481538553,11.052482201711948
Park_46toPark_47,8.316924562863273,10.871535660077464
Park_42toPark_43,7.845701487907826,10.3639020757037
Park_48toPark_49,7.585013343495369,9.877826069540738
Park_44toPark_45,7.320916055170257,9.263659386689056
Park_50toPark_51,7.1266404043084215,9.148308779878437
8_46to8_47,6.959618853079317,8.953762716706336
7_37to7_36,6.816126252308361,8.654532816095061
7_49to7_48,6.747583087410635,8.582734310365414
8_36to8_37,6.7888755523370365,8.397486696500405
Park_52toPark_53,6.64844777353926,8.261537543649906
Park_49toPark_48,6.493514445935335,8.218118378771084
6_36to6_37,6.12248070350695,8.021907766054845
Park_50toPark_49,6.0765990185701115,7.875386430363709
Park_41toPark_42,6.149894726246276,7.8623701667829
Park_53toPark_52,6.208041246174132,7.78888020015057
7_57to6_57,5.856799612929736,7.780206354852568
Park_51toPark_50,6.010423160697121,7.674969809294493
Park_42toPark_41,6.016150336722684,7.621352424428638
Park_54toPark_55,5.9121518379512645,7.460307860391055
Madison_36toMadison_37,5.2169921790241816,7.3801673309053175
Park_45toPark_44,5.774482324796733,7.30483427906452
7_34to8_34,4.5190910312061705,7.171093665667497
Park_46toPark_45,5.677738125447706,7.132306995132963
Park_34toPark_33,5.685267429864369,7.118503319725503
Park_38toPark_37,5.472037631099361,7.004447791877806
5_49to6_49,5.3484640123746,6.881799703625684
Park_39toPark_40,5.4388796256067575,6.8748196046288115
Madison_46toMadison_47,5.112264350283577,6.84005699751877
Park_40toPark_39,5.377054051077177,6.786113692210223
Park_40toPark_41,5.189296418904062,6.653170566021853
Park_44toPark_43,5.277042682183063,6.636772911536138
5_47to6_47,5.224514234157261,6.540844722188862
Park_45toPark_46,5.160232602734921,6.537508769657328
Park_57toPark_56,5.129696443010925,6.498670377528388
6_48to6_49,5.058827917062635,6.46684387602276
Park_47toMadison_47,5.0462637469142955,6.447438199187527
Park_47toPark_48,5.0716278308081835,6.4412051336649725
7_42to7_41,5.0288667274148064,6.403456166956792
5_45to6_45,5.079903062117346,6.3939627069640785
5_51to6_51,4.9916707501655155,6.31215631085837
Park_43toPark_44,5.082011745709439,6.305161654346914
Park_45toMadison_45,4.935857405598814,6.262679526166256
Park_34toPark_35,4.937588568487956,6.156391423050127
Park_49toMadison_49,4.8207327581892105,6.136043097709596
5_42to5_41,4.817586953977566,6.030785671875843
5_43to6_43,4.743742349774258,5.96006328581895
Madison_49to5_49,4.686779187988314,5.9561287514922725
5_42toMadison_42,4.64333332191221,5.909285741612672
6_50to6_51,4.657125756796637,5.878441239258453
6_44to6_45,4.5883087902866455,5.819847992876269
