edge,MAE,RMSE
6_42to5_42,14.744379847623046,29.9114538927007
Park_54toPark_53,14.944964094084039,24.366233491332515
Park_49toPark_50,10.72917838542823,22.029697169362738
7_42to8_42,13.140764162584105,19.540191195595487
Park_58toPark_57,14.660551278590455,18.49956665073602
6_49to6_50,10.907135735189705,16.816571641838223
6_34to5_34,9.053257714955775,16.775014505957184
Park_36toPark_35,9.488566688885467,15.806279458438544
5_52to5_51,10.132093392638062,15.268887650850433
Madison_47toMadison_48,8.657426102701322,14.35378837737027
Park_46toPark_47,9.39939014883852,12.73585995268852
Madison_57to5_57,7.955578298629599,12.717205185371146
Park_38toPark_39,9.036247670780497,11.59143241237033
Park_42toPark_43,7.980408264077562,10.762541752731305
Park_55toPark_54,6.895970110746989,10.71934990007894
Park_47toPark_46,7.809545875812863,10.717099782014142
Park_48toPark_49,7.907869356980917,10.430479681521962
5_40to5_39,7.321001399281815,10.286883940829414
Park_50toPark_51,7.4115945465309885,9.66839200677144
Park_44toPark_45,7.479328780352408,9.638227941610683
8_46to8_47,7.201079931005912,9.315736069093148
8_36to8_37,6.8303658324343095,8.51200089040879
Park_52toPark_53,6.754335246212776,8.404053155870189
7_37to7_36,6.344176134073147,8.303412082910315
Park_49toPark_48,6.546800543273455,8.286411542538726
7_49to7_48,6.264357775026117,8.200026194248018
6_36to6_37,6.155211446742059,8.10170506045602
Park_53toPark_52,6.343631542016789,8.026045884600768
Park_41toPark_42,6.223054504236946,7.994410253940169
Park_42toPark_41,6.324461598910351,7.991508651970527
Park_50toPark_49,6.0459334654191865,7.868155426117826
Park_51toPark_50,6.092954046782391,7.742687887104808
Park_54toPark_55,6.0546344622823645,7.737733950456581
Park_45toPark_44,5.906001928427183,7.50505787645067
Madison_36toMadison_37,5.226675643744347,7.340431506412126
Park_34toPark_33,5.772287276733813,7.329495246004003
Park_46toPark_45,5.819362737608459,7.323603979604864
Park_39toPark_40,5.765842004004198,7.288819387088239
Park_38toPark_37,5.5749399670214865,7.26077503937375
7_34to8_34,4.499274651555475,7.162363537403822
Madison_46toMadison_47,5.347829870507962,7.088882811883269
5_49to6_49,5.445115758283699,7.047659189501046
Park_44toPark_43,5.53852044039297,7.013292284063096
Park_45toPark_46,5.474703013482361,6.904002856516462
Park_40toPark_41,5.35198027963826,6.865371288983881
7_42to7_41,5.294725541858908,6.861327952951073
Park_40toPark_39,5.403496400922838,6.8606694997014985
Park_57toPark_56,5.316925181321956,6.768051433867576
6_48to6_49,5.281170238805117,6.715596013330644
Park_47toPark_48,5.218852650955611,6.706519261648454
5_47to6_47,5.254492526541829,6.603329299549047
5_45to6_45,5.164267652643666,6.564814324982404
Park_47toMadison_47,5.1158845147062655,6.5535345513153125
Park_43toPark_44,5.2545079919901445,6.524564618500287
Park_45toMadison_45,5.00418314131994,6.3440054332211995
Park_34toPark_35,5.046524168613998,6.323737382091278
5_51to6_51,4.989993821732327,6.3063246465277345
5_42to5_41,4.802919275890338,6.253722743001964
7_57to6_57,4.0437410727092225,6.21472131172044
Park_49toMadison_49,4.8833169289256615,6.198564993541041
6_44to6_45,4.833506399928669,6.116949801309927
5_43to6_43,4.786936467291625,6.085850954869567
6_46to6_47,4.837224796110582,6.077651157150637
Madison_48toMadison_49,4.775008069530843,6.0551110463408335
5_42toMadison_42,4.723559957870152,6.021628761177109
Madison_50toMadison_51,4.798655305687686,6.020301566149408
6_50to6_51,4.77027403782347,5.999064683152373
Madison_49to5_49,4.7223866645813555,5.987845324448078
Madison_44toMadison_45,4.653637331987735,5.955110848970658
Park_43toPark_42,4.814657925535168,5.9412491615062075
Madison_45toMadison_46,4.654673778807475,5.91729715700111
Madison_49toMadison_50,4.655523858734435,5.907812486052843
5_43to5_42,4.612942620781093,5.852639551852658
Park_48toPark_47,4.5635336837805935,5.829089438214196
Park_43toMadison_43,4.582269880923697,5.8261941623620705
6_52to6_53,4.642870573821197,5.810230499905295
Madison_42to5_42,4.523762554302626,5.802360485298288
Madison_45to5_45,4.550037897630552,5.763944371871083
5_53to6_53,4.585088429420316,5.7582649936322605
6_41to6_42,3.7366970613125425,5.697609579844029
Park_51toMadison_51,4.49281298390902,5.690560521033305
Madison_42toPark_42,4.516445867784197,5.676821786132406
6_47to6_48,4.585479342080529,5.674595787222361
8_54to8_55,4.4376287074681695,5.656648603238962
8_52to8_53,4.442731106861952,5.652791780447204
6_45to6_46,4.518223014741118,5.644091643503241
Madison_53to5_53,4.488542325146623,5.621782438902216
Park_37toPark_38,4.476520590199099,5.60187585187228
Madison_51to5_51,4.439504512014523,5.589885729305972
8_50to8_51,4.331352705460992,5.505990115279646
7_43to7_42,4.267046325383788,5.495658669113045
6_46to5_46,4.343259299329616,5.436060961161671
Madison_51toMadison_52,4.279408514886677,5.424276698144231
Park_35toPark_36,4.331253011939747,5.420830043469411
6_49to7_49,4.094678251401486,5.372162113351788
5_34toMadison_34,4.3200721516399305,5.346366645591658
8_51to8_52,4.230637793480569,5.311838581454128
Madison_40toMadison_41,4.191044856064408,5.309882035389909
Madison_47to5_47,4.19143161857962,5.303506107600339
6_44to5_44,4.21646312711397,5.289615120861661
5_42to6_42,4.230679587958961,5.288527964073745
6_40to5_40,4.051182183663179,5.272106187996384
Park_41toMadison_41,4.169710210059959,5.271070855961791
Madison_43toMadison_44,4.17813212589138,5.253099330809064
6_50to5_50,4.199179731930965,5.2338294182501475
6_48to5_48,4.165220511464092,5.221479698601789
6_52to5_52,4.054269358492746,5.21914328006106
Park_42toMadison_42,4.123556358647056,5.2083549249056444
8_48to8_49,4.116281706684476,5.187219479171908
Park_53toMadison_53,4.039507140725567,5.181035145222349
7_38to7_37,4.164498837025601,5.159446495587563
6_51to6_52,4.077205579701552,5.152809802766412
Park_51toPark_52,4.119780881352749,5.151595539313403
5_38to5_37,4.061278759468294,5.12309559533545
8_53to8_54,4.08822405263806,5.117760979732753
Park_56toPark_55,3.98059204747845,5.106131031101176
5_55to6_55,4.068483684522322,5.104015652516093
Park_41toPark_40,4.021008072746755,5.084101411151749
8_49to8_50,4.04924257276813,5.083285750514542
6_54to6_55,4.024246176853127,5.075440120512743
Madison_52toPark_52,4.052687947898802,5.06440251564951
Park_32toPark_31,3.945608130413442,5.041110464884578
6_40to6_41,3.9381872126284034,5.024215758301151
Madison_54toPark_54,3.989322893212605,5.0156848589769325
8_45to8_46,3.973781323465115,5.014520497225481
Madison_55to5_55,3.906659382542661,5.010131586831696
Madison_52toMadison_53,3.9992486855082703,5.0092649463712995
8_47to8_48,3.9385501807681464,5.000985800319976
Madison_39toMadison_40,3.89602385250288,4.971061806865313
Park_36toPark_37,3.8962041464437647,4.966086145054459
Park_39toPark_38,3.9544276600613064,4.95757151846521
Madison_43to5_43,3.85994542828063,4.931731329843285
Madison_50toPark_50,3.9512398278508454,4.931333340192985
Madison_34toPark_34,3.9017046477402477,4.912081403344419
Madison_48toPark_48,3.8635808361567623,4.88215963344556
Lexington_45toPark_45,3.909456663399623,4.864420369434725
Park_52toPark_51,3.813222567323322,4.83663401484355
5_40toMadison_40,3.8588379136102526,4.811698806767013
6_43to6_44,3.8434920746340997,4.809400013384547
5_36toMadison_36,3.840573494059457,4.807158166819045
Madison_38toMadison_39,3.7554065209788328,4.796805699017042
8_55to8_56,3.7655245274905855,4.792995817302211
5_41to6_41,3.824370017641724,4.767752051887606
5_44toMadison_44,3.7885553311200417,4.743634023805658
Park_33toPark_34,3.6952872867772077,4.7060816682740585
Madison_46toPark_46,3.761362164956196,4.705698382491345
8_44to8_45,3.731009080953358,4.700082558321388
Park_55toMadison_55,3.6233208727391175,4.668910239354628
Park_39toMadison_39,3.710110218754815,4.661565250606025
Lexington_42toPark_42,3.6605687774216187,4.660670764945185
7_42to6_42,3.329268466971754,4.658682100796181
5_38toMadison_38,3.709534343064379,4.635354391043618
Park_56toPark_57,3.6166272038246636,4.629345404904409
5_39to6_39,3.656308727593638,4.626160744797151
Park_30toPark_31,3.5926586675967815,4.607278551005504
5_46toMadison_46,3.6219688100075804,4.58796260067113
8_39to8_40,3.636740215031201,4.580989268652327
6_38to6_39,3.6189086397155075,4.578174002904352
6_39to6_40,3.618246743763741,4.576567561859855
5_53to5_52,3.53154133247394,4.546841836068797
6_53to6_54,3.5785232577659016,4.489618049451373
Park_53toPark_54,3.577350651086894,4.471175281507377
Madison_37toMadison_38,3.5391875779306976,4.459960987125177
Madison_53toMadison_54,3.539065617668158,4.457614516050041
5_45to5_44,3.527013298716725,4.441920972182159
7_45to7_44,3.4670297292157075,4.439268140979357
6_38to5_38,3.538856202635843,4.42121824724902
Madison_44toPark_44,3.4597813972480833,4.367106023227402
Madison_56toPark_56,3.4014831732083657,4.336254742821717
Park_37toPark_36,3.4577922530020544,4.307482316729482
8_37to8_38,3.412239444561132,4.298986212620825
Lexington_49toPark_49,3.402626826903131,4.294604785345779
5_49to5_48,3.3962033286764908,4.283412727544897
6_54to5_54,3.36890556134817,4.2585073367816095
5_48toMadison_48,3.368646162137723,4.220817010168498
7_47to7_46,3.3054125243703565,4.214289603353439
5_47to5_46,3.4101302421123116,4.213170988809333
8_38to8_39,3.336660980900267,4.203262589636786
6_37to6_38,3.3062760474819415,4.184074523221839
8_40to8_41,3.3351205147960763,4.1587649984801836
Park_55toPark_56,3.2606869125287354,4.13122956249166
6_36to5_36,3.2993062893935052,4.09501347036292
5_37to6_37,3.254383548384722,4.078749804308268
5_32toMadison_32,3.227537183236425,4.077546000243112
9_38to9_37,3.230484923785216,4.070850271305055
Park_37toMadison_37,3.23488921448919,4.0642105390274015
5_51to5_50,3.182363395087917,4.046475116069598
Lexington_47toPark_47,3.225102830714264,4.042183849736188
5_44to5_43,3.1835444075161123,4.039569802522513
Madison_54toMadison_55,3.1792084592506766,4.039293120482095
Park_33toPark_32,3.1387773258924048,4.019675914568255
5_50toMadison_50,3.13220956015554,3.995603757623422
7_41to7_40,3.1259225334807574,3.9092553468040245
5_46to5_45,3.070592882308786,3.8606639767769053
Lexington_43toPark_43,3.064513668718706,3.840997698219835
Madison_41to5_41,3.0260044777081214,3.826904093943837
Park_35toPark_34,3.012582221266241,3.808824236097978
Lexington_51toPark_51,3.016863027975559,3.7908493084365427
Lexington_34toPark_34,3.019460170730701,3.7553890417860476
8_35to8_36,2.9519022338574974,3.710405527661376
7_39to7_38,2.906402178043299,3.694100828397331
8_43to8_44,2.930060745207518,3.6912697647230033
Park_57toMadison_57,2.904269306413981,3.6849499407638495
9_42to9_41,2.882219515266737,3.670806467664037
5_48to5_47,2.888603376796471,3.669886230048038
Park_50toLexington_50,2.851416457394819,3.658220231002562
6_55to6_56,2.9235777103623692,3.654253620620955
Lexington_53toPark_53,2.852020976329648,3.6388955153597524
7_44to7_43,2.9016542358387234,3.6280804828872277
6_57to7_57,2.879673689568439,3.6107206744786238
Madison_42toMadison_43,2.904761463051004,3.607647670024104
Madison_40toPark_40,2.8770283185301544,3.589830174197048
Lexington_55toPark_55,2.845200434024641,3.5872513566630695
7_35to7_34,2.8664201371408953,3.584293299490066
9_46to9_45,2.869044550104579,3.5818883405907274
Madison_55toMadison_56,2.830880643862862,3.579513114750747
Park_31toPark_32,2.7768495695625313,3.5792466436904995
7_39to8_39,2.793516946216576,3.565311052013323
Lexington_41toPark_41,2.825359035352484,3.543934107993474
Lexington_39toPark_39,2.811488567208745,3.5423729631165606
9_40to9_39,2.8073860844443725,3.5192580947701884
9_34to8_34,2.7517821542649834,3.4810608508128267
5_52toMadison_52,2.781536807619294,3.477632532494124
Lexington_57toPark_57,2.7239792566189127,3.4655774511798283
Park_34toMadison_34,2.7295319887756846,3.464051468325666
7_51to7_50,2.6990362293614063,3.4611397716612604
7_34to7_33,2.772394229936545,3.4602116132422975
6_56to6_57,2.7367083287149008,3.4569692369853584
7_53to7_52,2.717047185539076,3.4550113121189003
Lexington_37toPark_37,2.752809995462754,3.453195056514799
6_35to6_36,2.7606489117093633,3.451691162966104
Madison_35toMadison_36,2.747056298663384,3.4386479957741414
Park_35toMadison_35,2.723305681285407,3.4066217232351814
7_46to7_45,2.7085855733892665,3.4045632939436796
6_56to5_56,2.6953282029782653,3.4022046610974805
5_55to5_54,2.6733642027890623,3.3976391895585656
9_44to9_43,2.7117964579000216,3.37845066210538
7_48to7_47,2.684187949103728,3.374499214682009
9_48to9_47,2.6699747259550493,3.360541973911676
8_32to8_33,2.6609294063576248,3.3591318206771033
Madison_38toPark_38,2.638188093678014,3.3584332851634464
6_43to7_43,2.6640451388273134,3.3579086057819363
Lexington_35toPark_35,2.652195574276793,3.343231323155844
5_34to5_33,2.612731389830405,3.3429603808013604
5_35to5_34,2.643553168211941,3.3418228348396712
Lexington_41toLexington_42,2.640054041693406,3.3074101689631594
5_34to6_34,2.622951921204516,3.304581399258278
9_50to9_49,2.608043154019996,3.2752285573038753
Park_54toLexington_54,2.6153971567815497,3.2532945514650993
5_57to5_56,2.55067514904714,3.2102345279853495
Lexington_39toLexington_40,2.5589900351384487,3.2063683490858934
8_31to8_32,2.5059254845951626,3.179566951183116
6_32to6_33,2.5122872964239806,3.1737136247332174
9_52to9_51,2.55174412950156,3.159840390275756
6_51to7_51,2.4703578298592626,3.1505089873331302
Park_32toPark_33,2.4802725992327366,3.1497638561561563
Park_52toLexington_52,2.4497970864246423,3.091617308101965
6_32to5_32,2.4642906270060987,3.0781223225317023
5_50to5_49,2.462423493173536,3.0776088280346983
5_35to6_35,2.44292832149545,3.076588231749487
6_53to7_53,2.431051237420346,3.051385522962478
5_41to5_40,2.363107263120934,3.0329162722472103
Madison_39to5_39,2.3995318515423594,3.00832378871478
Lexington_51toLexington_52,2.373235505077985,3.0010380471829614
6_55to7_55,2.3737804868634194,2.992136981332417
9_36to9_35,2.3534715144077354,2.9847527769720545
9_42to8_42,2.353432846636531,2.9712297167832418
6_47to7_47,2.3733560761054746,2.963786493443982
7_43to8_43,2.3563161845615888,2.9489870423990157
Lexington_53toLexington_54,2.335045984878482,2.9465544834268624
6_57to5_57,2.3475557902721143,2.945173857218346
7_44to6_44,2.3261077828482866,2.9400351249289858
6_45to7_45,2.3497458155611186,2.9248388200686453
8_44to7_44,2.284699864036566,2.920659208183231
Lexington_33toPark_33,2.314872803479084,2.9170025361517373
8_46to7_46,2.3336609872326415,2.9101419076562314
7_37to8_37,2.3195200339309223,2.9051922647403794
Lexington_47toLexington_48,2.3218908324164893,2.8839174657902413
9_43to9_42,2.276290675173924,2.8647989660417785
5_54toMadison_54,2.2835237566919795,2.849359835654726
Madison_36toPark_36,2.289626678941959,2.844555488306494
Lexington_45toLexington_46,2.2379165635595237,2.824400743054869
Lexington_49toLexington_50,2.254514269105646,2.821724226420649
7_51to8_51,2.228539775776206,2.805562721121726
7_45to8_45,2.2070847023719296,2.7951459049886
Madison_56toMadison_57,2.227700656039089,2.7939811654131783
5_39to5_38,2.155604719929727,2.7880260432383928
Lexington_43toLexington_44,2.225421407270124,2.775365303248039
7_49to8_49,2.2058376938519704,2.77211693354906
7_34to6_34,2.250158395826215,2.77070983832907
7_35to8_35,2.2011246477828768,2.760960794736142
7_40to6_40,2.237263733756573,2.7582595063368207
6_42to7_42,2.1765118253005675,2.755494779173513
6_31to6_32,2.1609566761358305,2.741486021805361
Lexington_37toLexington_38,2.2028206175539697,2.739617046693459
8_40to7_40,2.202813207967842,2.735723140987579
7_52to7_51,2.1698336368468993,2.7315967600662674
8_42to7_42,2.197390356521617,2.7298368701603812
9_44to8_44,2.1757150629218307,2.725288896703512
Madison_34toMadison_35,2.167412934871386,2.7158778380349586
7_46to6_46,2.1890907018641586,2.7156521869488732
Park_48toLexington_48,2.145749772665589,2.6690701156663574
7_57to7_56,2.1067145050039744,2.6585875806860133
8_48to7_48,2.1325973485668173,2.642239260507219
7_47to8_47,2.0943328846068914,2.642167892058265
7_53to8_53,2.1176309647358353,2.641267606889392
8_38to7_38,2.076012725015115,2.6334361504514416
Madison_32toMadison_33,2.0754476901678176,2.6101035663596983
5_37to5_36,2.086624299965217,2.609882214257446
5_57to6_57,2.067977644488458,2.6043436339829134
Park_33toMadison_33,2.067573934369161,2.599805268827696
Lexington_35toLexington_36,2.080658812708815,2.596055656963085
7_50to7_49,2.069691289899174,2.5890722144083367
9_34to9_33,2.0220688477183586,2.5873757505404473
9_38to8_38,2.0738333626273975,2.582249432212333
8_36to7_36,2.0647788680753756,2.5678092410047766
6_41to7_41,2.032468837831285,2.552629393815442
9_32to8_32,2.041178497734375,2.54995466984286
9_54to9_53,2.0398305414224787,2.5431042470561023
7_36to6_36,2.0144479698720663,2.5231386615829168
9_40to8_40,2.032758416194322,2.5148649127772447
7_41to8_41,2.001233909523067,2.506144962836256
Madison_37to5_37,1.961799628809082,2.499960835245901
Park_56toLexington_56,2.0094282277405724,2.490011684154368
7_38to6_38,1.977633184207533,2.4800006180805796
8_39to9_39,1.9780975903519182,2.4766480306042262
5_56toMadison_56,1.9667061055452078,2.4676068201201518
9_36to8_36,1.985645990074967,2.4632449349053043
7_48to6_48,1.9192324216408483,2.4593367757810167
7_55to8_55,1.9347258483452907,2.4448211704882867
6_33to6_34,1.9529517267503467,2.4413619095920436
8_34to8_35,1.9343984223177584,2.435698343016067
8_50to7_50,1.9430810453955605,2.4341595257348256
8_37to9_37,1.9403549800544158,2.413064696848549
6_39to7_39,1.876421113959651,2.4105161346353765
Madison_34to5_34,1.9407036944338267,2.396978344148288
8_30to8_31,1.892489543935919,2.393510363868657
Park_46toLexington_46,1.905803572671933,2.3769379881237076
9_46to8_46,1.8952450745670861,2.3743925501693384
Madison_31toMadison_32,1.8624621200724596,2.356390202700671
5_36to5_35,1.8516195557114625,2.3466735636993357
5_56to5_55,1.8309102744730001,2.344670768982402
Lexington_31toPark_31,1.8325828452573298,2.3279399842331143
Madison_41toMadison_42,1.8399361541508623,2.3070986423354647
9_56to9_55,1.838973678089757,2.300476475717084
6_42to6_43,1.817275627974701,2.2986383185391834
9_48to8_48,1.8347739830840233,2.2962172568991344
8_42to9_42,1.8209264712316737,2.2855639953162425
6_30to6_31,1.7968435473814417,2.2748700935584965
5_54to5_53,1.82667496146969,2.2621343491074923
8_52to7_52,1.7780345238417248,2.253997537925594
7_50to6_50,1.7762452795905774,2.248272521113361
Lexington_33toLexington_34,1.7905171914722475,2.236225046193423
9_35to9_34,1.7264454377484777,2.20407571460408
8_42to8_43,1.7379611397720982,2.1938756019926497
5_33to6_33,1.7234392151448565,2.1841253171119464
6_37to7_37,1.7370016782018025,2.1732725636792516
8_34to7_34,1.7193910531677,2.160993443878479
Lexington_55toLexington_56,1.7039793572764708,2.160649542254569
5_58to5_57,1.7129880321633455,2.1519228726093425
7_55to7_54,1.7148250500036117,2.147075590073085
7_36to7_35,1.7014962815785493,2.146349642135831
Madison_35to5_35,1.7269403523636337,2.1381656157214417
9_50to8_50,1.7131004613191834,2.130242539288784
6_30to5_30,1.7034778073982257,2.127749736981707
8_41to9_41,1.6713298996044579,2.1087052510888458
Park_44toLexington_44,1.6715723043823016,2.091583932095154
7_56to7_55,1.6634247927880632,2.0793921712413166
Madison_32toPark_32,1.6378839980952486,2.07533732551728
8_32to7_32,1.628422512544414,2.0392766748853255
7_58to7_57,1.5816576355011693,1.9673328492596338
8_41to8_42,1.5591790048998415,1.9537164746999487
8_34to9_34,1.5458260532246755,1.9522948212514655
8_43to9_43,1.542345452581218,1.9402566249417972
7_32to6_32,1.5286439283951725,1.9330014646393243
7_52to6_52,1.5395962465225002,1.9229737046655715
7_54to7_53,1.4950856968237534,1.899097229675864
8_35to9_35,1.4899813633319767,1.8949491362409885
8_54to7_54,1.4822606032619605,1.869638693628819
Park_42toLexington_42,1.5044743408077386,1.8680015384791628
Lexington_31toLexington_32,1.4790169434947567,1.86428842604424
Madison_30toMadison_31,1.476142657697315,1.8581703548928552
Park_31toMadison_31,1.4943399374300754,1.8473179845904635
7_33to7_32,1.4577306085644217,1.832891951574247
5_31to6_31,1.452023405090801,1.8308967130436975
5_57toMadison_57,1.4483422170200368,1.8305784686442632
Madison_57toPark_57,1.4357303381417865,1.8150540287430417
9_52to8_52,1.4426138570722968,1.8129338256035976
8_45to9_45,1.3997666433411,1.7821152575637909
9_58to9_57,1.4005881960713742,1.7631670113029319
6_34to6_35,1.4121908690994347,1.7532490191992087
9_54to8_54,1.3937122136994096,1.735656520434469
8_57to7_57,1.381828196150012,1.7100027760164933
9_56to8_56,1.3683357748905287,1.7099724263646434
7_40to7_39,1.3477036579984054,1.6959198597127245
8_30to7_30,1.3424521486219616,1.690038293391356
9_57to8_57,1.3491261706346984,1.6821311531874343
