edge,MAE,RMSE
6_42to5_42,20.46341874147856,33.40086947223995
Park_54toPark_53,16.97218525971554,27.370843935555346
Park_49toPark_50,13.77609671683075,24.136177986392553
7_42to8_42,13.99103017434228,19.396674698818895
6_49to6_50,13.060041444794084,18.247470766250856
6_34to5_34,9.993132689381177,16.8032103908386
Park_36toPark_35,10.963735593469943,16.75342717105056
5_52to5_51,10.994856197830966,15.806088395541343
Madison_47toMadison_48,9.790172073910972,15.68596128167934
Madison_57to5_57,8.016554575870735,12.393153833640387
Park_55toPark_54,7.66355252125124,11.92563636054664
Park_38toPark_39,9.332252790260847,11.857588050816807
Park_58toPark_57,8.490048710601872,11.197635639045565
Park_46toPark_47,8.335782309940457,11.026056934599108
Park_47toPark_46,7.882120061212902,10.933311202242107
5_40to5_39,7.775983013159293,10.814763763417362
Park_42toPark_43,7.847863890819093,10.456762727437331
Park_48toPark_49,7.644048103566845,10.024728361406858
Park_44toPark_45,7.315247050782068,9.363016631013204
Park_50toPark_51,7.261492887015029,9.348443243083498
8_46to8_47,6.782689897644265,8.937917833791587
7_37to7_36,6.884931109372161,8.804444220094796
7_49to7_48,6.810883706464392,8.70450670152316
8_36to8_37,6.769252371302565,8.450968421070508
Park_52toPark_53,6.679018083511875,8.36397354636465
Park_49toPark_48,6.582704206373602,8.331301519679563
Park_50toPark_49,6.097223713676605,7.956535209696552
6_36to6_37,6.018124317026166,7.9422925186228595
7_57to6_57,6.188300283814949,7.904941258800706
Park_41toPark_42,6.123591449742343,7.879068403267204
Park_53toPark_52,6.262093407225412,7.8594510297330125
Park_51toPark_50,5.99338846686321,7.72028837030655
Park_42toPark_41,6.036915069688322,7.698261438486734
Park_54toPark_55,5.980328918037454,7.561927248934707
Park_45toPark_44,5.84783307342305,7.399819351616108
Madison_36toMadison_37,5.1482205494058855,7.372727182184611
Park_46toPark_45,5.719999897271366,7.24774814985908
7_34to8_34,4.620654161145975,7.185216400186424
Park_34toPark_33,5.691393954481011,7.157478455674069
Park_38toPark_37,5.471064087631618,7.038896473457824
Madison_46toMadison_47,5.212971858521617,7.035992540823998
Park_39toPark_40,5.433149660078706,6.878088872309079
5_49to6_49,5.3456449086298505,6.877770263702858
Park_40toPark_39,5.364090633291519,6.823479204777862
Park_44toPark_43,5.3275343206672465,6.736359365603475
6_48to6_49,5.1566213398538485,6.656725837657198
Park_40toPark_41,5.15405166420439,6.643197665386005
7_42to7_41,5.142787070028849,6.608923033252722
Park_45toPark_46,5.199375537414062,6.586596624023883
5_47to6_47,5.2317876743521685,6.559350334680554
Park_47toPark_48,5.123547115976799,6.539249996675215
Park_57toPark_56,5.116456884818327,6.501455592459597
Park_47toMadison_47,5.018738747372282,6.4195500615476275
5_45to6_45,5.099359251184586,6.417170342572593
Park_43toPark_44,5.086470893429902,6.34880943652631
5_51to6_51,4.993734010248531,6.31282481701713
Park_45toMadison_45,4.916979994213284,6.251168646018337
5_42to5_41,4.950005720768664,6.204508731321562
Park_34toPark_35,4.9159209428625035,6.160297732385331
Park_49toMadison_49,4.822664809517447,6.157492405767286
6_44to6_45,4.720942777813585,6.029083081906122
6_50to6_51,4.746583733809995,6.002562914623861
6_46to6_47,4.749111546412616,5.992043495950307
5_43to6_43,4.735469929810902,5.966831990192899
Madison_49to5_49,4.6782276300322,5.957622894973738
Madison_48toMadison_49,4.619878081638641,5.913959348087849
5_42toMadison_42,4.613504399563252,5.894599871739537
Madison_45toMadison_46,4.581097073444347,5.885844859579159
Madison_44toMadison_45,4.5662586972530335,5.877193674400123
Madison_50toMadison_51,4.639966511406315,5.789715049459036
Park_43toPark_42,4.5871827721724,5.754020670109123
Madison_49toMadison_50,4.511944559930655,5.750312754607566
5_53to6_53,4.568350755502967,5.727682518103397
Park_48toPark_47,4.442745851915363,5.718027667800503
Madison_42to5_42,4.432342007244971,5.714218060205509
Madison_45to5_45,4.481976496951191,5.707956248996849
Park_51toMadison_51,4.469301491485347,5.669124542431328
Park_43toMadison_43,4.428028807662511,5.648543807374028
Madison_53to5_53,4.493218288477737,5.627677060341519
6_52to6_53,4.482433137613402,5.599961309333858
5_43to5_42,4.386351812901851,5.589971746106548
Madison_42toPark_42,4.430942794563817,5.578318665631458
6_47to6_48,4.459953368927014,5.569512097099551
6_45to6_46,4.413925794009847,5.566418188404402
Madison_51to5_51,4.38739228912751,5.565171601601235
6_41to6_42,3.6014053925141023,5.513549244332656
8_52to8_53,4.318386245132317,5.505864622379086
Park_37toPark_38,4.390504304392467,5.488835623272053
8_54to8_55,4.292934372520437,5.440627259901646
8_50to8_51,4.3144210520868524,5.394545429280878
7_43to7_42,4.190024983232555,5.389129753134629
Madison_47to5_47,4.202141268223995,5.362524985460526
Park_35toPark_36,4.213567665408624,5.319692037540487
6_46to5_46,4.285869828091455,5.317792938508248
5_34toMadison_34,4.231161227664363,5.264263413871782
Madison_51toMadison_52,4.124616010125435,5.225766175681691
Madison_40toMadison_41,4.15314502201888,5.223753238229795
5_42to6_42,4.161777044982378,5.2105170907857365
7_38to7_37,4.192156194653094,5.208886284972319
Park_41toMadison_41,4.111527040472541,5.185130971391371
8_51to8_52,4.147129276408237,5.184284026371038
6_44to5_44,4.1597059129676754,5.182171246380127
6_50to5_50,4.106427460869796,5.156285838182601
Park_42toMadison_42,4.059127615691556,5.134533828326336
6_52to5_52,3.942338654530896,5.115790290345319
Park_56toPark_55,3.9620635286039434,5.113420545334082
6_40to5_40,3.935484333361397,5.107743877525943
6_49to7_49,3.866589494415311,5.106349324092048
6_48to5_48,4.0573611489370816,5.104500853731073
6_54to6_55,4.002225422498481,5.100951322070564
Park_53toMadison_53,4.014059492631095,5.08313387485813
6_51to6_52,4.056824692346685,5.074164343159854
8_48to8_49,4.015348749771717,5.064234895832146
5_55to6_55,4.016820336591084,5.041884304786678
8_49to8_50,3.975700836133271,5.030405625386205
5_38to5_37,4.012004777820631,5.02818352503924
8_47to8_48,3.9511354493843265,5.023439004025637
Park_51toPark_52,3.9958903005926976,5.004433201768104
8_53to8_54,3.9688493585132103,4.982430767507065
Madison_52toMadison_53,3.927204978063446,4.979969847510514
Madison_43toMadison_44,3.9091988196469902,4.96480954133042
8_45to8_46,3.913475169440205,4.963723721240137
Madison_39toMadison_40,3.8886457130886085,4.947382442618758
Park_41toPark_40,3.912298479232625,4.9442395652167335
Park_32toPark_31,3.862267740611563,4.937667689197289
Madison_55to5_55,3.8914493166249065,4.936449323908227
6_40to6_41,3.8921012544438733,4.926909644783155
Madison_52toPark_52,3.9499552190362635,4.923098776567025
Park_36toPark_37,3.8549852589399416,4.916119661147978
Madison_54toPark_54,3.9107083781604035,4.904691215284476
Madison_43to5_43,3.8280091137700394,4.893787609803962
Madison_50toPark_50,3.916323340930993,4.873265030901597
Madison_34toPark_34,3.8453507511582785,4.838748538627101
Park_52toPark_51,3.7983603011558937,4.810833403968015
Madison_48toPark_48,3.7737478168737493,4.782752822075093
Lexington_45toPark_45,3.840452823912463,4.775348625339645
5_40toMadison_40,3.809440264929548,4.742186821176145
8_55to8_56,3.736342161865827,4.741266229562112
Madison_38toMadison_39,3.701852212026792,4.732238443822303
Park_39toPark_38,3.7795974887399257,4.724901374336429
5_41to6_41,3.7698275550646128,4.69820264940996
5_44toMadison_44,3.7384121451073624,4.690733769360595
5_36toMadison_36,3.749168479151824,4.674083304180244
8_44to8_45,3.689321663655813,4.639378339781264
5_39to6_39,3.5968193141517903,4.6213745001699875
Park_33toPark_34,3.5910750415879495,4.618651985511162
Madison_46toPark_46,3.6907427486324402,4.600839429494225
5_38toMadison_38,3.688946095206035,4.597048365704483
Park_30toPark_31,3.5851393887151333,4.593604244040252
Park_56toPark_57,3.5899006815060863,4.58829853024012
6_43to6_44,3.642253257032269,4.588213908625182
5_53to5_52,3.493053452984192,4.583182613090077
Park_39toMadison_39,3.6782702860216583,4.5787394802365675
Lexington_42toPark_42,3.593490839018958,4.571973999828528
7_42to6_42,3.2371053858093606,4.533503238880491
Park_55toMadison_55,3.5741895643764243,4.506800292538979
6_39to6_40,3.531313964410889,4.4788001036789735
6_53to6_54,3.539131411806235,4.474956998148261
Madison_37toMadison_38,3.5463928339367397,4.459297392187872
5_46toMadison_46,3.545487587841046,4.447424656565346
5_45to5_44,3.5340766722478136,4.444105198577127
6_38to6_39,3.4837867460669374,4.428156635811424
8_39to8_40,3.4940383540157867,4.419119712237069
7_45to7_44,3.4455465784910766,4.416073412906818
6_38to5_38,3.5134786988217694,4.3971023224409915
Madison_53toMadison_54,3.4428820508484774,4.348180139343942
Park_53toPark_54,3.463399193548134,4.325535807198665
5_49to5_48,3.3946105891006955,4.316264402087848
Madison_56toPark_56,3.353341785698707,4.27013849004888
5_47to5_46,3.3402731478808807,4.221256322995302
Madison_44toPark_44,3.3277709170076735,4.212296247549974
Lexington_49toPark_49,3.319662966828195,4.210951490570727
Park_37toPark_36,3.3471507361491426,4.204691022006382
5_48toMadison_48,3.298567688013709,4.187328595725881
8_37to8_38,3.33393424582011,4.185496237753577
6_54to5_54,3.3290372538513924,4.178480923068468
7_47to7_46,3.267968024688379,4.173190311425032
8_38to8_39,3.261872028666592,4.1288281592811265
9_38to9_37,3.26422874757108,4.103842059596688
6_37to6_38,3.1976392260562014,4.0678082569603085
Park_55toPark_56,3.1836550371233785,4.05941270131407
8_40to8_41,3.240851207789692,4.051194916502977
5_51to5_50,3.1934695984126984,4.044585977965723
5_32toMadison_32,3.1547595525358147,4.0090760135142185
Park_37toMadison_37,3.1582239438369792,3.9933007335398725
5_37to6_37,3.1862561080133416,3.9886520660196703
6_36to5_36,3.1806916967321506,3.974484753667016
Lexington_47toPark_47,3.1519160003594586,3.9702954152004817
5_44to5_43,3.1024105447342176,3.929059656111098
Madison_54toMadison_55,3.0937523741884148,3.9272001854242484
5_50toMadison_50,3.0801314288282953,3.906797779117951
