edge,MAE,RMSE
Park_54toPark_53,23.49497979100004,35.48054621647916
6_42to5_42,17.248712110334314,31.825104262650665
Park_58toPark_57,23.315836913023155,28.876860303839976
7_42to8_42,17.075026567534973,23.887546837159647
Park_49toPark_50,10.96182821233831,22.42626260371935
6_49to6_50,11.991216548252009,19.1946181901644
6_34to5_34,10.315281841682296,18.19088067998595
5_52to5_51,12.424235481404533,17.89393193225045
Madison_47toMadison_48,10.829711132779323,17.589977115110425
Park_46toPark_47,13.287851948619462,17.129328070460655
Park_36toPark_35,10.000975270398945,16.79388323589475
Park_48toPark_49,10.801314971584567,14.05359181358129
Madison_57to5_57,9.080463326538815,13.786615307916653
Park_42toPark_43,10.072461543186899,13.554277468565544
Park_50toPark_51,10.338418758735893,13.166719812314742
Park_55toPark_54,7.818510408117587,12.516165373442492
7_42to7_41,9.629578607423461,11.844782056397293
Park_47toPark_46,7.926588022815522,11.425058526338224
Park_44toPark_45,8.614940975446917,11.424319373440275
Park_53toPark_52,8.963001285577668,11.128805529360646
Park_38toPark_39,8.577609568096165,11.044530637878895
Madison_46toMadison_47,8.683374205632038,10.934165954178372
5_42to5_41,8.932779805905504,10.87795277588774
5_40to5_39,7.431634937873762,10.716065969943928
7_57to6_57,9.125892676337404,10.550003309421616
Park_49toPark_48,8.273111347002413,10.489866553859537
7_37to7_36,8.319343301310333,10.183599446045468
6_48to6_49,8.037070938160698,10.08916586236415
7_49to7_48,8.078220766265833,9.92407666523235
Park_50toPark_49,7.722293964593981,9.868063478901975
Madison_45toMadison_46,7.976841126985426,9.74528832455618
Madison_44toMadison_45,7.763103905184444,9.684524608268664
6_46to6_47,7.905206914965317,9.68246981948281
Madison_48toMadison_49,7.428280466104253,9.165331192446427
8_46to8_47,6.998415530341251,9.118316975838017
Park_52toPark_53,7.251660572483197,9.111603784058616
6_44to6_45,7.245206053285711,8.929911439738486
Park_51toPark_50,6.8735846281217885,8.854230530929936
7_34to8_34,5.6484119079438,8.631660471007978
8_36to8_37,6.984426613130284,8.465772353829028
Madison_36toMadison_37,6.426229213245048,8.393090004351372
Park_45toPark_44,6.586971107604752,8.380937419634307
Park_42toPark_41,6.492447981467994,8.309470409633748
Park_41toPark_42,6.3987882041842585,8.276782674304714
6_36to6_37,6.282623320130405,8.205582112985024
6_50to6_51,6.5753916846532965,8.126411567756465
Park_46toPark_45,6.351056651927383,8.056606783803486
6_45to6_46,6.333334040540413,7.909459830490571
Park_57toPark_56,6.28091518762787,7.806207331191321
Park_54toPark_55,6.146168850563948,7.781816763267002
6_47to6_48,6.22134845647761,7.78122055488715
Madison_49toMadison_50,6.172711608067864,7.743434043143251
Park_34toPark_33,5.80038839500388,7.305554179481555
Park_38toPark_37,5.643225867053686,7.301644107058313
Park_39toPark_40,5.734726726007293,7.2649327613438714
5_43to5_42,5.709884183374439,7.223734718148024
Park_44toPark_43,5.632873428360659,7.204675558540103
5_49to6_49,5.587150061848812,7.115579526568926
Park_47toMadison_47,5.530690706644592,7.017626519580596
5_47to6_47,5.598228264947989,7.01646615801092
Madison_50toMadison_51,5.567122386907459,7.010751917550023
5_42toMadison_42,5.5559410031230465,6.985376806983318
Park_40toPark_41,5.4392125416724015,6.969300146987408
Park_45toPark_46,5.453744269413446,6.927978155144003
Park_40toPark_39,5.452115214260847,6.8885707103171026
Park_47toPark_48,5.378565875068209,6.87397824573052
Madison_42toPark_42,5.563410889156982,6.871848492984557
5_45to6_45,5.5122189953775536,6.829636049139513
5_34toMadison_34,5.485275734090038,6.741725027231093
6_41to6_42,4.993490630023446,6.7056131499294365
Park_34toPark_35,5.3527771253352245,6.680129629547144
Park_49toMadison_49,5.289104086350628,6.662183959712493
Park_43toMadison_43,5.309213018848481,6.646275079880286
Park_45toMadison_45,5.246118537600781,6.621465845940818
Madison_42to5_42,5.191170028941851,6.6078732760445575
6_48to5_48,5.483009882545871,6.606870784040941
Park_43toPark_44,5.279247719507129,6.599715327927204
5_51to6_51,5.202068389248159,6.579440389482933
6_46to5_46,5.299786833818072,6.552831472116367
6_52to6_53,5.179026330402026,6.486725474213525
6_44to5_44,5.218821170109142,6.469668536964493
Park_51toMadison_51,5.057732244173066,6.46183791328084
5_43to6_43,5.099615275692778,6.448042710054321
6_40to5_40,5.008724101145375,6.424686204438683
7_43to7_42,5.052559465742925,6.406362427992815
Madison_49to5_49,5.053382956946822,6.356000774174773
5_53to6_53,5.018365374129226,6.341901233716111
6_50to5_50,5.1035612800409265,6.341448766811803
5_55to6_55,5.05162452807469,6.321989378987921
Madison_50toPark_50,5.0682811837838075,6.262373074519998
Park_42toMadison_42,4.9078111290726305,6.204922976200976
Park_53toMadison_53,4.889566540124137,6.1843823459711995
Park_36toPark_37,4.872291264322637,6.164447218278512
Madison_52toPark_52,4.969723697850136,6.1571014068907
Park_43toPark_42,4.88161994240368,6.116513910353491
Park_32toPark_31,4.782998472762192,6.111178191259664
Park_53toPark_54,5.036912816201454,6.108689245263678
Madison_48toPark_48,4.9133419480165905,6.09866779672837
Park_41toMadison_41,4.83543838523504,6.096484299554135
Park_37toPark_38,4.878488774499986,6.090609038546371
Madison_54toPark_54,4.755183627105004,6.084517316322758
Park_41toPark_40,4.906513255450068,6.076850610123556
5_36toMadison_36,4.862166564581118,6.067326449184875
8_52to8_53,4.782850119130362,6.061907738194652
Park_48toPark_47,4.734770248222376,6.040143244219449
Park_35toPark_36,4.80113502646015,6.028949281996033
5_40toMadison_40,4.9001260016045665,6.018938356098349
Madison_43toMadison_44,4.735044040676251,6.01116020840561
Madison_45to5_45,4.740302145260483,6.007549335625342
6_49to7_49,4.434706662294389,5.99843362053654
Madison_47to5_47,4.75012088371433,5.982492036375016
Madison_43to5_43,4.784588566129847,5.97860527665651
5_41to6_41,4.807399355608177,5.958458396108216
Madison_51toMadison_52,4.725420802798571,5.953199991151074
Madison_51to5_51,4.770520494013561,5.949161788362145
Madison_34toPark_34,4.676553106863126,5.929990825988678
6_52to5_52,4.564004002878786,5.927357449868048
Madison_40toMadison_41,4.676800341352996,5.91954173459816
