id,x,y
9_30,0,0
9_31,0,100
9_32,0,200
9_33,0,300
9_34,0,400
9_35,0,500
9_36,0,600
9_37,0,700
9_38,0,800
9_39,0,900
9_40,0,1000
9_41,0,1100
9_42,0,1200
9_43,0,1300
9_44,0,1400
9_45,0,1500
9_46,0,1600
9_47,0,1700
9_48,0,1800
9_49,0,1900
9_50,0,2000
9_51,0,2100
9_52,0,2200
9_53,0,2300
9_54,0,2400
9_55,0,2500
9_56,0,2600
9_57,0,2700
9_58,0,2800
8_30,200,0
8_31,200,100
8_32,200,200
8_33,200,300
8_34,200,400
8_35,200,500
8_36,200,600
8_37,200,700
8_38,200,800
8_39,200,900
8_40,200,1000
8_41,200,1100
8_42,200,1200
8_43,200,1300
8_44,200,1400
8_45,200,1500
8_46,200,1600
8_47,200,1700
8_48,200,1800
8_49,200,1900
8_50,200,2000
8_51,200,2100
8_52,200,2200
8_53,200,2300
8_54,200,2400
8_55,200,2500
8_56,200,2600
8_57,200,2700
8_58,200,2800
7_30,400,0
7_31,400,100
7_32,400,200
7_33,400,300
7_34,400,400
7_35,400,500
7_36,400,600
7_37,400,700
7_38,400,800
7_39,400,900
7_40,400,1000
7_41,400,1100
7_42,400,1200
7_43,400,1300
7_44,400,1400
7_45,400,1500
7_46,400,1600
7_47,400,1700
7_48,400,1800
7_49,400,1900
7_50,400,2000
7_51,400,2100
7_52,400,2200
7_53,400,2300
7_54,400,2400
7_55,400,2500
7_56,400,2600
7_57,400,2700
7_58,400,2800
6_30,600,0
6_31,600,100
6_32,600,200
6_33,600,300
6_34,600,400
6_35,600,500
6_36,600,600
6_37,600,700
6_38,600,800
6_39,600,900
6_40,600,1000
6_41,600,1100
6_42,600,1200
6_43,600,1300
6_44,600,1400
6_45,600,1500
6_46,600,1600
6_47,600,1700
6_48,600,1800
6_49,600,1900
6_50,600,2000
6_51,600,2100
6_52,600,2200
6_53,600,2300
6_54,600,2400
6_55,600,2500
6_56,600,2600
6_57,600,2700
6_58,600,2800
5_30,700,0
5_31,700,100
5_32,700,200
5_33,700,300
5_34,700,400
5_35,700,500
5_36,700,600
5_37,700,700
5_38,700,800
5_39,700,900
5_40,700,1000
5_41,700,1100
5_42,700,1200
5_43,700,1300
5_44,700,1400
5_45,700,1500
5_46,700,1600
5_47,700,1700
5_48,700,1800
5_49,700,1900
5_50,700,2000
5_51,700,2100
5_52,700,2200
5_53,700,2300
5_54,700,2400
5_55,700,2500
5_56,700,2600
5_57,700,2700
5_58,700,2800
Madison_30,800,0
Madison_31,800,100
Madison_32,800,200
Madison_33,800,300
Madison_34,800,400
Madison_35,800,500
Madison_36,800,600
Madison_37,800,700
Madison_38,800,800
Madison_39,800,900
Madison_40,800,1000
Madison_41,800,1100
Madison_42,800,1200
Madison_43,800,1300
Madison_44,800,1400
Madison_45,800,1500
Madison_46,800,1600
Madison_47,800,1700
Madison_48,800,1800
Madison_49,800,1900
Madison_50,800,2000
Madison_51,800,2100
Madison_52,800,2200
Madison_53,800,2300
Madison_54,800,2400
Madison_55,800,2500
Madison_56,800,2600
Madison_57,800,2700
Madison_58,800,2800
Park_30,900,0
Park_31,900,100
Park_32,900,200
Park_33,900,300
Park_34,900,400
Park_35,900,500
Park_36,900,600
Park_37,900,700
Park_38,900,800
Park_39,900,900
Park_40,900,1000
Park_41,900,1100
Park_42,900,1200
Park_43,900,1300
Park_44,900,1400
Park_45,900,1500
Park_46,900,1600
Park_47,900,1700
Park_48,900,1800
Park_49,900,1900
Park_50,900,2000
Park_51,900,2100
Park_52,900,2200
Park_53,900,2300
Park_54,900,2400
Park_55,900,2500
Park_56,900,2600
Park_57,900,2700
Park_58,900,2800
Lexington_30,1000,0
Lexington_31,1000,100
Lexington_32,1000,200
Lexington_33,1000,300
Lexington_34,1000,400
Lexington_35,1000,500
Lexington_36,1000,600
Lexington_37,1000,700
Lexington_38,1000,800
Lexington_39,1000,900
Lexington_40,1000,1000
Lexington_41,1000,1100
Lexington_42,1000,1200
Lexington_43,1000,1300
Lexington_44,1000,1400
Lexington_45,1000,1500
Lexington_46,1000,1600
Lexington_47,1000,1700
Lexington_48,1000,1800
Lexington_49,1000,1900
Lexington_50,1000,2000
Lexington_51,1000,2100
Lexington_52,1000,2200
Lexington_53,1000,2300
Lexington_54,1000,2400
Lexington_55,1000,2500
Lexington_56,1000,2600
Lexington_57,1000,2700
Lexington_58,1000,2800
