route_id	edges
route1	9_30to8_30 8_30to8_31 8_31to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to8_39 8_39to8_40 8_40to8_41 8_41to8_42 8_42to8_43 8_43to8_44 8_44to8_45 8_45to8_46 8_46to8_47 8_47to8_48 8_48to8_49 8_49to8_50 8_50to8_51 8_51to8_52 8_52to8_53 8_53to8_54 8_54to8_55 8_55to8_56 8_56to8_57 8_57to8_58
route2	9_30to8_30 8_30to8_31 8_31to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to8_39 8_39to8_40 8_40to8_41 8_41to8_42 8_42to8_43 8_43to8_44 8_44to8_45 8_45to8_46 8_46to8_47 8_47to8_48 8_48to8_49 8_49to8_50 8_50to8_51 8_51to8_52 8_52to8_53 8_53to8_54 8_54to8_55 8_55to8_56 8_56to8_57 8_57to8_58 8_58to7_58 7_58to6_58
route3	9_30to8_30 8_30to7_30 7_30to6_30 6_30to5_30
route4	9_30to8_30 8_30to8_31 8_31to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to8_39 8_39to8_40 8_40to8_41 8_41to8_42 8_42to8_43 8_43to8_44 8_44to8_45 8_45to8_46 8_46to8_47 8_47to8_48 8_48to8_49 8_49to8_50 8_50to8_51 8_51to8_52 8_52to8_53 8_53to8_54 8_54to8_55 8_55to8_56 8_56to8_57 8_57to8_58 8_58to7_58 7_58to6_58 6_58to5_58 5_58toMadison_58
route5	9_30to8_30 8_30to7_30 7_30to6_30 6_30to5_30 5_30toMadison_30 Madison_30toPark_30
route6	9_30to8_30 8_30to8_31 8_31to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to8_39 8_39to8_40 8_40to8_41 8_41to8_42 8_42to8_43 8_43to8_44 8_44to8_45 8_45to8_46 8_46to8_47 8_47to8_48 8_48to8_49 8_49to8_50 8_50to8_51 8_51to8_52 8_52to8_53 8_53to8_54 8_54to8_55 8_55to8_56 8_56to8_57 8_57to8_58 8_58to7_58 7_58to6_58 6_58to5_58 5_58toMadison_58 Madison_58toPark_58
route7	9_30to8_30 8_30to7_30 7_30to6_30 6_30to5_30 5_30toMadison_30 Madison_30toPark_30 Park_30toLexington_30
route8	9_30to8_30 8_30to8_31 8_31to8_32 8_32to7_32 7_32to6_32 6_32to5_32 5_32toMadison_32 Madison_32toPark_32 Park_32toLexington_32
route9	9_30to8_30 8_30to8_31 8_31to8_32 8_32to8_33 8_33to8_34 8_34to7_34 7_34to6_34 6_34to5_34 5_34toMadison_34 Madison_34toPark_34 Park_34toLexington_34
route10	9_30to8_30 8_30to8_31 8_31to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to7_36 7_36to6_36 6_36to5_36 5_36toMadison_36 Madison_36toPark_36 Park_36toLexington_36
route11	9_30to8_30 8_30to8_31 8_31to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to7_38 7_38to6_38 6_38to5_38 5_38toMadison_38 Madison_38toPark_38 Park_38toLexington_38
