Seconds,0,1,2,3,4,5,6
0,0.907638793,0.907638793,0.907638793,0.907638793,0.907638793,0.950942171,0.907638793
15,0.911969131,0.911969131,0.911969131,0.911969131,0.911969131,0.955272508,0.911969131
30,0.905906658,0.905906658,0.905906658,0.905906658,0.905906658,0.94054936,0.905906658
45,0.899844185,0.899844185,0.899844185,0.899844185,0.899844185,0.934486887,0.899844185
60,0.882522834,0.882522834,0.882522834,0.882522834,0.882522834,0.917165536,0.882522834
75,0.86260328,0.86260328,0.86260328,0.86260328,0.86260328,0.888585307,0.888585307
90,0.846147997,0.846147997,0.846147997,0.846147997,0.846147997,0.872130024,0.872130024
105,0.821898106,0.821898106,0.821898106,0.821898106,0.821898106,0.839219457,0.839219457
120,0.80630889,0.80630889,0.80630889,0.80630889,0.80630889,0.814969565,0.814969565
135,0.787255404,0.787255404,0.787255404,0.787255404,0.787255404,0.795916079,0.795916079
150,0.761273377,0.761273377,0.761273377,0.761273377,0.761273377,0.769934053,0.769934053
165,0.758675174,0.758675174,0.758675174,0.758675174,0.758675174,0.76733585,0.76733585
180,0.751746634,0.751746634,0.751746634,0.751746634,0.751746634,0.751746634,0.751746634
195,0.762139445,0.762139445,0.762139445,0.762139445,0.762139445,0.762139445,0.762139445
210,0.769934053,0.769934053,0.769934053,0.769934053,0.769934053,0.751746634,0.751746634
225,0.764737647,0.764737647,0.764737647,0.764737647,0.764737647,0.762139445,0.762139445
240,0.778594728,0.778594728,0.778594728,0.778594728,0.778594728,0.769934053,0.769934053
255,0.771666188,0.771666188,0.771666188,0.771666188,0.771666188,0.764737647,0.764737647
270,0.788121471,0.788121471,0.788121471,0.788121471,0.788121471,0.778594728,0.778594728
285,0.798514282,0.798514282,0.798514282,0.798514282,0.798514282,0.771666188,0.771666188
300,0.788121471,0.788121471,0.788121471,0.788121471,0.788121471,0.751746634,0.751746634
315,0.801978552,0.801978552,0.801978552,0.801978552,0.801978552,0.762139445,0.762139445
330,0.794183944,0.794183944,0.794183944,0.794183944,0.794183944,0.769934053,0.769934053
345,0.802844619,0.802844619,0.802844619,0.802844619,0.802844619,0.764737647,0.764737647
360,0.808041025,0.808041025,0.808041025,0.808041025,0.808041025,0.778594728,0.778594728
375,0.814969565,0.814969565,0.814969565,0.814969565,0.814969565,0.771666188,0.771666188
390,0.856540808,0.856540808,0.856540808,0.856540808,0.856540808,0.788121471,0.788121471
405,0.89118351,0.89118351,0.89118351,0.89118351,0.89118351,0.798514282,0.798514282
420,0.945745765,0.945745765,0.945745765,0.945745765,0.945745765,0.788121471,0.788121471
435,0.98298667,0.98298667,0.98298667,0.98298667,0.98298667,0.801978552,0.801978552
450,1.008102629,1.008102629,1.008102629,1.008102629,1.008102629,0.794183944,0.794183944
465,1.023691845,1.023691845,1.023691845,1.023691845,1.023691845,0.807174957,0.807174957
480,1.046209601,1.046209601,1.046209601,1.046209601,1.046209601,0.822764173,0.822764173
495,1.076521966,1.076521966,1.076521966,1.076521966,1.076521966,0.8487462,0.8487462
510,1.073923763,1.073923763,1.073923763,1.073923763,1.073923763,0.909370928,0.909370928
525,1.097307587,1.097307587,1.097307587,1.097307587,1.097307587,0.913701266,0.913701266
540,1.096441519,1.096441519,1.096441519,1.096441519,1.096441519,0.924094077,0.924094077
555,1.081718371,1.081718371,1.081718371,1.081718371,1.081718371,0.952674306,0.952674306
570,1.088646911,1.088646911,1.088646911,1.088646911,1.088646911,0.964799251,0.964799251
585,1.073923763,1.073923763,1.073923763,1.073923763,1.073923763,0.971727792,0.971727792
600,1.061798817,1.061798817,1.061798817,1.061798817,1.061798817,0.969129589,0.969129589
615,1.065263087,1.065263087,1.065263087,1.065263087,1.065263087,0.973459927,0.973459927
630,1.07132556,1.07132556,1.07132556,1.07132556,1.07132556,0.975192062,0.975192062
645,1.065263087,1.065263087,1.065263087,1.065263087,1.065263087,0.981254535,0.981254535
660,1.069593425,1.069593425,1.069593425,1.069593425,1.069593425,0.999441953,0.999441953
675,1.075655898,1.075655898,1.075655898,1.075655898,1.075655898,1.016763305,1.016763305
690,1.062664885,1.062664885,1.062664885,1.062664885,1.062664885,1.024557912,1.024557912
705,1.054004209,1.054004209,1.054004209,1.054004209,1.054004209,1.019361507,1.019361507
720,1.036682858,1.036682858,1.036682858,1.036682858,1.036682858,1.036682858,1.036682858
735,1.016763305,1.016763305,1.016763305,1.016763305,1.060066682,1.060066682,1.060066682
