Seconds,0,1,2,3,4,5,6
0,1.998,1.998,1.998,1.998,1.998,2.048,1.998
15,2.003,2.003,2.003,2.003,2.003,2.053,2.003
30,1.996,1.996,1.996,1.996,1.996,2.036,1.996
45,1.989,1.989,1.989,1.989,1.989,2.029,1.989
60,1.989,1.989,1.989,1.989,1.989,2.029,1.989
75,1.986,1.986,1.986,1.986,1.986,2.016,2.016
90,1.977,1.977,1.977,1.977,1.977,2.007,2.007
105,1.999,1.999,1.999,1.999,1.999,2.019,2.019
120,2.001,2.001,2.001,2.001,2.001,2.011,2.011
135,2.009,2.009,2.009,2.009,2.009,2.019,2.019
150,2.009,2.009,2.009,2.009,2.009,2.019,2.019
165,2.026,2.026,2.026,2.026,2.026,2.036,2.036
180,2.048,2.048,2.048,2.048,2.048,2.048,2.048
195,2.06,2.06,2.06,2.06,2.06,2.06,2.06
210,2.069,2.069,2.069,2.069,2.069,2.048,2.048
225,2.053,2.053,2.053,2.053,2.053,2.05,2.05
240,2.069,2.069,2.069,2.069,2.069,2.059,2.059
255,2.071,2.071,2.071,2.071,2.071,2.063,2.063
270,2.09,2.09,2.09,2.09,2.09,2.079,2.079
285,2.102,2.102,2.102,2.102,2.102,2.071,2.071
300,2.12,2.12,2.12,2.12,2.12,2.078,2.078
315,2.146,2.146,2.146,2.146,2.146,2.1,2.1
330,2.137,2.137,2.137,2.137,2.137,2.109,2.109
345,2.147,2.147,2.147,2.147,2.147,2.103,2.103
360,2.153,2.153,2.153,2.153,2.153,2.119,2.119
375,2.161,2.161,2.161,2.161,2.161,2.111,2.111
390,2.209,2.209,2.209,2.209,2.209,2.13,2.13
405,2.249,2.249,2.249,2.249,2.249,2.142,2.142
420,2.312,2.312,2.312,2.312,2.312,2.13,2.13
435,2.355,2.355,2.355,2.355,2.355,2.146,2.146
450,2.384,2.384,2.384,2.384,2.384,2.137,2.137
465,2.372,2.372,2.372,2.372,2.372,2.122,2.122
480,2.398,2.398,2.398,2.398,2.398,2.14,2.14
495,2.443,2.443,2.443,2.443,2.443,2.18,2.18
510,2.44,2.44,2.44,2.44,2.44,2.25,2.25
525,2.467,2.467,2.467,2.467,2.467,2.255,2.255
540,2.466,2.466,2.466,2.466,2.466,2.267,2.267
555,2.449,2.449,2.449,2.449,2.449,2.3,2.3
